title,link,published,source,pub_date,doi,last_author,last_author_source,abstract,abstract_source
High-Entropy-Doped V2O5 for Efficient NH4+/Zn2+ Energy Storage,https://pubs.acs.org/aamick/article/doi/10.1021/acsami.6c09981/5428027/High-Entropy-Doped-V2O5-for-Efficient-NH4-Zn2,,ACS Applied Materials & Interfaces: Latest Articles (ACS Publications),2026-09-11 00:00:00+00:00,10.1021/acsami.6c09981,Yihua Gao,,"Abstract Aqueous energy storage systems (AESS) offer advantages such as safety and environmental friendliness. Among them, the rapid charge-discharge capabilities of ammonium-ion batteries (AIBs) and the high energy density of zinc-ion batteries (ZIBs) complement each other. Although V2O5 holds promise as a key electrode material in both AIBs and ZIBs, it is limited by its slow kinetics and structural instability. Herein, V2O5·0.47H2O (HEVOH) with extended interlayer spacing and an optimized electronic structure is successfully constructed via a high-entropy doping strategy, effectively solving the issues of slow kinetics and structural instability of V2O5, and demonstrating outstanding performance in both AIBs and ZIBs. When used in AIBs, it delivers a capacity of 137.6 mAh g–1 at 0.20 A g–1, with a capacity retention of 92.7% at 1.00 A g–1 after 3000 cycles. When used in ZIBs, it achieves a capacity of 543.6 mAh g–1 at 0.10 A g–1, maintaining 76.6% capacity at 10.00 A g–1 after 7000 cycles. The NH4+ storage mechanism involves interlayer intercalation, hydrogen bond reconstruction, and oxygen vacancy generation. The Zn2+ storage mechanism is interlayer intercalation and reversible deposition of Zn4SO4(OH)6·4H2O to construct a dynamic interface protective layer. This work provides a direction for the universal design of high-performance AESS.",crossref
A bimetallic CuBi catalyst for enhanced electrochemical CO reduction to acetate,https://www.science.org/doi/10.1126/sciadv.aef9216,,Science Advances,2026-09-11 00:00:00+00:00,10.1126/sciadv.aef9216,Yanwei Lum,,"Catalyst design principles for generating multicarbon (C 2+ ) products from electrochemical carbon dioxide (CO 2 ) reduction (CO 2 R) and carbon monoxide (CO) reduction (COR) are often similar and used interchangeably. However, here we demonstrate how a copper bismuth (CuBi) catalyst generates a drastically different product output for CO 2 R versus COR, offering a valuable case study. During CO 2 R, we observe predominant formate production, due to selective adsorption of the CO 2 reactant onto Bi sites rather than Cu sites. On the other hand, acetate is observed as the primary product for COR because formate production on Bi sites is shut down. Specifically, with the optimal CuBi catalyst, we achieve a high acetate Faradaic efficiency of 68.2% at 100 milliamperes per square centimeter under COR conditions. Experiments involving the coreduction of 13 CO 2 / 12 CO feeds of varying mixing ratios show that acetate has the highest carbon-12 content among the products. This suggests that CO-selective sites (Cu CO ) could play a role in facilitating selective acetate production. Notably, analysis of the acetate isotopologues also reveals a preference for the formation of 12 CH 3 13 COO − over 13 CH 3 12 COO − . We propose this to be due to an acetate-selective pathway involving asymmetric hydrogenation of * 12 CO 13 CO to * 12 CH 2 13 CO (ketene). This pathway is promoted at high pH and is postulated to occur at the interfaces between Cu CO and CO 2 -selective sites (Cu CO2 ). Together, our results provide mechanistic insights into acetate formation under COR conditions.",crossref
AT1R-mediated NIR-II/PA imaging-guided iCM exosome therapy for myocardial ischemia revascularization,https://www.science.org/doi/10.1126/sciadv.aef1504,,Science Advances,2026-09-11 00:00:00+00:00,10.1126/sciadv.aef1504,Nanbo Liu,,"Ischemic heart disease remains a leading cause of global mortality, primarily driven by myocardial infarction and subsequent ischemia–reperfusion injury (MI/RI) following coronary artery occlusion. This highlights a critical unmet clinical need for integrated strategies that enable both timely intervention during the acute phase and precise postinjury assessment of myocardial damage. Here, we report a theranostic platform based on a dual-modality near-infrared II fluorescence and photoacoustic imaging probe targeting the angiotensin II type 1 receptor (AT1R). The system is coloaded with losartan and exosomes derived from induced pluripotent stem cell–derived cardiomyocytes (iCMs), enabling noninvasive, high-resolution visualization and evaluation of myocardial injury. Under imaging guidance, this platform allows spatially precise delivery of therapeutics, thereby integrating the antifibrotic and anti-inflammatory effects of AT1R blockade with the regenerative paracrine signaling mediated by iCM-derived exosomes. The synergistic therapeutic efficacy of this system was systematically validated in established mouse and rat models of MI/RI, demonstrating enhanced angiogenesis, attenuation of fibrosis, and improved cardiac functional recovery. Collectively, this study establishes a multifunctional platform that integrates diagnosis and therapy, providing a promising strategy for the precise management of MI/RI.",crossref
Betel nut sucking is the earliest recorded evidence for the habitual use of a neuroactive plant drug,https://www.science.org/doi/10.1126/sciadv.aei1901,,Science Advances,2026-09-11 00:00:00+00:00,10.1126/sciadv.aei1901,Marlon N. R. Ririmasse,,"The modern custom of chewing betel nuts is practiced by around 1 in 10 people worldwide, yet the earliest beginnings of this widespread drug use habit are unknown. We report rare skeletal remains of two preagricultural foragers from Sulawesi (Indonesia), both displaying a dental pathology that we establish was caused by a hitherto unknown precursor to betel chewing: habitual sucking of whole betel nuts. Previous reports suggested that the main neuroactive alkaloid in betel nut, arecoline, is released by masticating the processed nut with slaked lime. However, our experiments demonstrate that simply keeping intact betel nuts in the oral cavity for prolonged periods releases arecoline. Biomolecular analysis of the ancient human teeth is also consistent with this early form of ingesting betel nut. With the earliest forager dating to 25 to 16 thousand years ago, our findings suggest the use of betel nut as a drug has more ancient origins than previously supposed.",crossref
RNA-independent cis-autoregulatory circuits within bidirectional gene pairs control metabolism,https://www.science.org/doi/10.1126/sciadv.aei6204,,Science Advances,2026-09-11 00:00:00+00:00,10.1126/sciadv.aei6204,C. Ronald Kahn,,"Many genes share promoters with another gene on the opposite DNA strand, forming bidirectional pairs. During metabolic transitions, most pairs are coordinately regulated in the liver, in part through chromatin topology. In pairs composed of a long noncoding RNA (lncRNA) and a protein-coding gene (PCG), lncRNA transcription cis-activates PCG transcription by establishing an active chromatin environment at the promoter-proximal enhancer of PCG. Reciprocally, PCG transcription cis-inhibits lncRNA transcription, forming internal cis-autoregulatory circuits. Both directions of regulation are independent of the RNA products but dependent on the transcription process itself. Similar promoter-proximal enhancer signatures and cis-autoregulatory circuits are present in many lncRNA/PCG and PCG/PCG pairs, underscoring the generalizability of these circuits. Using the conserved lncRNA/PCG pair Gm15663 / Tmtc2 as a model, we show that blocking lncRNA transcription in the liver in vivo disrupts this coordinated regulation, decreasing Tmtc2 expression and inducing hepatic steatosis. These data demonstrate the physiological importance of transcription-dependent cis-autoregulatory circuits in metabolic homeostasis and their potential for dysregulation in disease.",crossref
GSK3β and Plk1 sequentially phosphorylate ATP–citrate lyase to promote homologous recombination,https://www.science.org/doi/10.1126/sciadv.aeg1097,,Science Advances,2026-09-11 00:00:00+00:00,10.1126/sciadv.aeg1097,Haiyan Yan,,"Accurate repair of DNA double-strand breaks (DSBs) by homologous recombination (HR) is essential for genome stability. Nuclear production of acetyl–coenzyme A (acetyl-CoA) by ATP–citrate lyase (ACLY) promotes HR, yet how ACLY is regulated during the DNA damage response (DDR) remains unclear. Here, we identify a phosphorylation-dependent signaling axis in which glycogen synthase kinase 3β (GSK3β) and Polo-like kinase 1 (Plk1) act sequentially on ACLY to facilitate HR-mediated repair of DSBs induced by ionizing radiation. Following AKT-dependent phosphorylation of ACLY at Ser 455 , GSK3β phosphorylates ACLY at Thr 447 , generating a docking site for Plk1, which in turn phosphorylates ACLY at Ser 442 . This phosphorylation cascade, enhanced by radiation, sustains histone acetylation, supports the accumulation of BRCA1 and RAD51 at DSBs, and confers cellular resistance to poly(ADP-ribose) polymerase (PARP) inhibition. Together, our findings define an AKT-GSK3β-Plk1-ACLY signaling module that links the DDR to nuclear metabolism, revealing a critical mechanism by which kinase signaling facilitates acetyl-CoA–dependent chromatin remodeling to preserve genome integrity.",crossref
Subnanometer control and electrochemical mapping of a Pt monolayer catalyst for boosting ethanol oxidation,https://www.science.org/doi/10.1126/sciadv.aeh8316,,Science Advances,2026-09-11 00:00:00+00:00,10.1126/sciadv.aeh8316,Yang Yang,,"Strain engineering with atomical precision is considered the ultimate strategy for enhancing nanocatalyst activity. Although methods for strain modulation, such as elemental doping, core-shell structures, and defect engineering, have achieved substantial success, they inevitably alter catalyst composition, complicating the interpretation of strain effects. Herein, we developed a combined mechanically controlled break junction (MCBJ) and scanning electrochemical microscopy (SECM) method, enabling subnanometer control on the nanocatalyst structure and visual monitoring of electrochemical activity under continuous strain modulation without altering the material’s composition. As proof of principle, we prepared a monolayer of platinum (Pt) catalyst on a gold surface and applied continuous tensile strain to it using the MCBJ module. In situ x-ray diffraction and finite element simulations confirmed that the lattice spacing of the Pt monolayer catalyst was controlled with atomic precision. Electrochemical mapping using SECM revealed that the catalytic activity of the Pt monolayer catalyst follows a volcano-type trend with increasing strain, with optimal electrocatalytic activity for ethanol oxidation at 1.0% tensile strain. Density functional theory calculations and quasi–in situ x-ray photoelectron spectroscopy analysis indicate that tensile strain elevates the d-band center of Pt, enhancing the adsorption of both reactants and intermediates while facilitating charge transfer processes, resulting in enhanced performance in the final. This work provides an experimental method for studying the independent impact of strain engineering on the material performance, with both atomic precision and dynamic visualization, offering insights for the design of advanced electrocatalysts.",crossref
Molecular-level D-A interaction engineering for high-efficiency photoelectric nanofluidic ion transport,https://www.science.org/doi/10.1126/sciadv.aei4200,,Science Advances,2026-09-11 00:00:00+00:00,10.1126/sciadv.aei4200,Chen Wang,,"Inspired by biological light-driven ion transport, photoelectric nanofluidic systems offer a promising route toward intelligent ion regulation and signal transduction. Unlike traditional semiconductors constrained by rigid band structures, donor-acceptor (D-A) materials present superior tunability and photoelectric conversion efficiency. Here, we demonstrate molecular-level engineering of D-A interactions in covalent organic frameworks (COFs) to achieve efficient light-enhanced nanofluidic ion transport. By systematically varying the electron-donating and electron-accepting strengths of the building blocks, we designed two D-A COFs, namely D-A PCOF and D-A MCOF, with gradually modulated surface charge density. Among them, D-A PCOF, which integrates strong acceptor and donor units into a single crystalline framework, displays optimized optoelectronic properties. This structural and electronic synergy facilitates efficient photoinduced charge separation and directional carrier migration, resulting in significantly enhanced selective ion transport. When applied in osmotic energy conversion, the D-A PCOF membrane delivers a remarkable 74% increase in output power under illumination across a 50-fold salinity gradient and achieves a high-power density of 83.4 W m −2 under a 500-fold gradient. This work underscores charge microenvironment engineering as a powerful strategy for designing high-performance photo-responsive nanofluidic membranes.",crossref
Self-stretching molecular monolayers with autonomous folding and mechanical adaptation,https://www.science.org/doi/10.1126/sciadv.aeg8906,,Science Advances,2026-09-11 00:00:00+00:00,10.1126/sciadv.aeg8906,Tatsuo Hasegawa,,"Molecular monolayers at fluid interfaces are generally considered mechanically fragile, collapsing under lateral compression. Here we show that a rationally designed amphiphilic π-conjugated molecule instead forms a monolayer that adapts to mechanical stress. Langmuir films of 3-hydroxyphenyl-7-decyl-[1]benzothieno[3,2- b ][1]benzothiophene (HP-BTBT-C10) accommodate and store compressive stress without collapse. In situ optical imaging reveals that lateral compression converts into reversible out-of-plane deformation via anisotropic molecular reorganization, producing ordered wrinkles. Electron diffractometry and high-resolution electron microscopy show localized multilayer folding while retaining local molecular packing. Intermolecular interaction calculations suggest that hydroxy substitution helps stabilize both the Langmuir monolayer on water and folded multilayer wrinkles, while preserving the strong layer-forming tendency of alkyl-substituted extended π-core molecules. Dynamic measurements based on barrier-oscillation experiments further demonstrate repeatable viscoelastic stress responses mediated by sequential folding and wrinkle reversibility, establishing mechanically adaptive molecular monolayers that bridge conventional Langmuir films and biologically inspired membranes.",crossref
Early detection of invasive lung cancer and multiorgan metastasis by a collagen-targeted protein MRI contrast agent,https://www.science.org/doi/10.1126/sciadv.adz6815,,Science Advances,2026-09-11 00:00:00+00:00,10.1126/sciadv.adz6815,Jenny J. Yang,,"Lung cancer with multiorgan metastasis remains the leading cause of cancer death. Current CT imaging and biopsy are suboptimal for detecting early tumors or subclinical metastases. We address this gap using LUAD with LKB1/STK11 inactivation, which alters collagen via focal adhesion kinase activation. Collagen I overexpression in the tumor microenvironment and invasive edge was identified as a biomarker. We developed hProCA32.Collagen, a protein MRI contrast agent targeting collagen I, which exhibits 10-fold higher relaxivity than clinical GBCAs, with strong Gd 3+ binding, high stability, and low toxicity risk. Precision MRI with hProCA32.Collagen enables early, noninvasive detection and quantification of lung tumors and metastases with improved contrast, outperforming CT and standard MRI. This is a demonstration of simultaneous MRI detection of primary tumors and metastases in the lung and adrenal glands, with collagen mapping. This approach offers a radiation-free tool for early diagnosis, staging, and monitoring in LUAD.",crossref
Rubisco functional integrity requires a dedicated three-step maturation pathway,https://www.science.org/doi/10.1126/sciadv.aeh5060,,Science Advances,2026-09-11 00:00:00+00:00,10.1126/sciadv.aeh5060,Thierry Meinnel,,"Proteins generally begin with methionine, which is often removed to expose the second residue. RuBP carboxylase/oxygenase (Rubisco), the most abundant enzyme on Earth and a major carbon and nitrogen reservoir, escapes this paradigm. Its catalytic subunit, RbcL, undergoes unusual amino terminal maturation, including atypical initiator methionine-serine cleavage and proline acetylation, a modification not seen in other biological systems. We define a specialized pathway of two sequential aminopeptidases and an amino terminal acetyltransferase, dedicated to RbcL, that executes processing. This maturation is coupled to chaperone-assisted holoenzyme assembly, enhances activation by Rubisco activase, and shields the complex from degradation during senescence. Disruption of this pathway reduces Rubisco accumulation and catalytic competence, revealing an evolutionarily tailored mechanism integrating protein maturation, assembly, and stability of a central metabolic enzyme.",crossref
Increasing nitrogen loading in the Gulf of Mexico undermines coral reef resilience,https://www.science.org/doi/10.1126/sciadv.aef2841,,Science Advances,2026-09-11 00:00:00+00:00,10.1126/sciadv.aef2841,Alfredo Martínez-García,,"The ongoing global decline of coral reefs underscores the need to identify key mechanisms driving reef deterioration. The Flower Garden Banks (FGB) reefs in the northern Gulf are widely regarded as some of the healthiest in the continental United States, but recent disease outbreaks in the FGB have raised concerns about their long-term resilience. As human and agricultural expansion intensified across the Mississippi River basin, the river has become the dominant source of nutrients to the northern Gulf; however, the evolution of this influence is poorly understood. Here, we reconstruct nitrogen inputs to the FGB using annually resolved coral-bound nitrogen isotopes (CB-δ 15 N) from two coral cores that collectively span the period from 1753 to 2023. Our results show that anthropogenic nitrogen began to rise around 1850, coinciding with the early use of fertilizers, and increased sharply after the 1960s with the onset of the Green Revolution and the use of synthetic fertilizers, suggesting the Mississippi discharge as the source. Fractional endmember modeling further reveals that the accumulation and mobilization of legacy nitrogen stored in Midwestern soils and groundwater have amplified modern riverine fluxes, driving Mississippi-derived nitrate to more than 60 to 80% of the nitrogen reaching the FGB in recent decades. The highest riverine contributions of the past 270 years occurred in 2016 and 2022–2023, coinciding with disease outbreaks and thermal stress events. These findings suggest that the combined effects of unprecedented nutrient loading and extreme heat are key synergetic drivers of the recent deterioration in coral health observed for this historically resilient reef system.",crossref
A systematic comparison of single-cell perturbation response prediction models,https://www.science.org/doi/10.1126/sciadv.aed3414,,Science Advances,2026-09-11 00:00:00+00:00,10.1126/sciadv.aed3414,Luyi Tian,,"Predicting single-cell transcriptional responses to perturbations is central to dissecting gene regulation and accelerating therapeutic design, yet the field lacks a rigorous, task-spanning assessment of model behavior. We present a large-scale benchmark of 13 representative methods and baselines across 25 datasets spanning diverse perturbation modalities and species, including two primary immune-cell drug-response resources. We evaluated three core tasks—generalization to unseen single-gene perturbations, prediction of combinatorial interactions, and transfer across cell types—using 24 metrics covering expression-level accuracy, relative changes, differential expression (DE) recovery, and distributional similarity. Across tasks, performance depended strongly on perturbation effect size and evaluation perspective: Expression-level agreement was the highest for small-effect perturbations resembling controls, whereas delta- and DE-based metrics improved with larger effects, providing clearer signals. Models shared a conservative bias, with fine-tuned foundation models compressing variance and underestimating synergistic effects in combinations. PerturbNet showed superior recovery of DE signatures in Tasks 1 and 2, while no method consistently generalized across cell types in Task 3, where biological consistency dominated outcomes. This benchmark establishes current methodological limits, clarifies that different metrics probe distinct biological signals rather than redundant summaries of the same prediction problem, and provides a foundation for developing virtual-cell models that more faithfully capture heterogeneous perturbation responses.",crossref
Peroxiredoxin 1 safeguards the nucleolar genome from oxidative damage,https://www.science.org/doi/10.1126/sciadv.aed4161,,Science Advances,2026-09-11 00:00:00+00:00,10.1126/sciadv.aed4161,Urbain Weyemi,,"Peroxiredoxin 1 (PRDX1) is a highly conserved, thiol-dependent peroxidase that rapidly scavenges reactive oxygen species to modulate redox signaling. PRDX1-null mice exhibited genomic instability, shortened life span, and accelerated tumorigenesis, including development of lymphomas, sarcomas, and carcinomas. Despite extensive characterization of these phenotypes, the molecular mechanism by which PRDX1 loss causes genomic instability remains poorly understood. Here, we show that PRDX1 deficiency alters nucleolar morphology, impairs RNA polymerase I (POL-I)–dependent transcription of pre–ribosomal RNAs, and triggers nucleolar genomic instability. This oxidative stress–induced nucleolar dysfunction promotes the stability of secondary DNA structures, such as RNA-DNA hybrids and G-quadruplex DNA, contributing to nucleolar genomic instability. We demonstrate that PRDX1 loss reduces nascent ribosomal RNA (rRNA) levels and impairs rRNA processing, further affecting ribosome biogenesis. Mechanistically, we established that PRDX1 loss triggers activation of the nucleolar DNA damage response characterized by activation of the DNA repair kinase ATM and elevated TCOF1 within the nucleolus. In addition, we observed recruitment of the MRE11-RAD50-NBS1 (MRN) complex subunit NBS1 to ribosomal DNA (rDNA) loci and this was further increased under oxidative stress. NBS1 accumulation correlates with the repression of rDNA transcription by POL-I, potentially delaying rRNA synthesis, and safeguarding the nucleolar genome from further oxidative damage. Collectively, these findings uncover a previously unrecognized, but critical role, for PRDX1 in maintaining nucleolar integrity and ribosomal biogenesis through redox-dependent regulation of rDNA transcription and processing machinery.",crossref
