title,link,published,source,pub_date,doi,last_author,last_author_source,abstract,abstract_source
Intrinsic polarization superjunctions in III-nitride heterostructures for efficient power electronics,https://www.nature.com/articles/s41928-026-01691-4,,Nature Electronics,2026-08-28 00:00:00+00:00,10.1038/s41928-026-01691-4,Elison Matioli,,"Abstract
                  
                    III-nitride semiconductors combine a wide bandgap with low sheet resistance and, thus, can be used for efficient power electronics. Their lateral architecture also enables monolithic integration on cost-effective silicon. However, electric-field crowding, as well as surface and buffer trapping, limit the breakdown voltage, degrade dynamic performance and reduce reliability. Here we report intrinsic polarization superjunctions in III-nitride heterostructures for efficient power electronics. We use the spontaneous and piezoelectric polarization fields to induce matched mobile electrons in a two-dimensional electron gas and mobile holes in a two-dimensional hole gas, forming an intrinsically charge-balanced superjunction without intentional doping. With an ohmic contact to the two-dimensional hole gas, both carrier types can be dynamically depleted during switching, which preserves drift-region charge neutrality, producing a nearly uniform electric field and increasing the breakdown voltage under operating conditions. We use the approach to create gallium-nitride-on-silicon polarization superjunction Schottky barrier diodes with a breakdown voltage exceeding 3.9 kV and a specific ON resistance as low as 4.7 mΩ cm
                    2
                    , as well as polarization superjunction transistors with a breakdown voltage exceeding 3.4 kV. The devices exhibit a near-ideal dynamic ON-resistance degradation of less than 15% up to 3 kV, as well as repeatable, temperature-stable and avalanche-like breakdown.",crossref
Scalable Hierarchical Structuring Enables Robust Non-Wetting Condensation and Anti-Frosting on Stainless Steel,https://doi.org/10.1021/acsami.6c10570,,ACS Applied Materials & Interfaces,2026-08-28 00:00:00+00:00,10.1021/acsami.6c10570,Jin Yao Ho,,"Abstract Scalable fabrication of surface morphologies with sufficiently high energy barriers remains a key limitation in achieving stable non-wetting condensation on stainless steel, as its chemical resilience makes controlled surface structuring challenging. Here, we leverage the intrinsic microstructural features of additively manufactured 316L stainless steel to generate dense microneedle arrays, further decorated with nanostructures to enhance wetting resistance and enable sustained coalescence-induced droplet jumping. The engineered surface maintains stable droplet removal under pure vapor conditions, achieving a 2.5–3.7 X enhancement in heat transfer coefficient compared to filmwise condensation, across a subcooling range of 4.1 to 11.3 K. Notably, strong resistance to wetting transitions is observed across a wide range of supersaturation conditions during a continuous 20 h test. In addition, frosting is significantly delayed by suppressing ice nucleation and propagation, retaining approximately 60% frost-free area after 180 min at –10 °C and 50% frost-free area after 100 min at –13 °C whereas the untreated surface is fully covered by frost within the first 10 to 30 min. This work establishes a scalable strategy for stabilizing non-wetting condensation on stainless steel, enabling improved thermal performance and expanding the application space of additively manufactured metals.",crossref
Dual-Oxide-Modified Electrospun Carbon Nanofibers Enabling Hierarchically Porous Composite Electrodes for Regulated Zinc Deposition in Zinc–Manganese Flow Batteries,https://doi.org/10.1021/acsami.6c12815,,ACS Applied Materials & Interfaces,2026-08-28 00:00:00+00:00,10.1021/acsami.6c12815,Qing Zhang,,"Abstract Zinc-based flow batteries (ZBFBs) are promising candidates for large-scale energy storage. However, their practical application is limited by uneven interfacial electric fields and uncontrolled dendrite growth during zinc deposition. Herein, we report a hierarchical zincophilic composite electrode combining a conventional carbon felt with an electrospun carbon nanofiber scaffold modified by ZnO and SiO2. This multiscale porous structure improves both electrolyte transport and charge distribution. Specifically, the macroporous carbon felt facilitates electrolyte flow, while the nanofiber network increases the electrochemically active surface area to homogenize the local electric field. Furthermore, the dual oxides act as regulated zinc nucleation sites and mechanical plasticizing components, lowering the nucleation overpotential and relieving localized stress during repeated plating and stripping. Consequently, the electrode promotes uniform and highly reversible zinc deposition under high areal loading. The resulting ZBFBs achieve highly stable performance for over 50,000 cycles at 60 mA cm–2, demonstrating exceptional durability under practical, high-current-density operations.",crossref
"Nanodiamonds in Filtration and Adsorption Systems: Structure-Property Relationships, Immobilization Strategies, and Emerging Applications",https://doi.org/10.1021/acsami.6c11549,,ACS Applied Materials & Interfaces,2026-08-28 00:00:00+00:00,10.1021/acsami.6c11549,Stepan Stehlik,,"Abstract Nanodiamonds (NDs) combine the exceptional hardness, chemical durability, and thermal stability of bulk diamond with a high surface-to-volume ratio and widely tunable surface chemistry. These properties enable broad control over surface charge, polarity, hydration, and interfacial interactions, making NDs attractive for adsorption and water-treatment applications. Nevertheless, their practical potential in these fields remains substantially underdeveloped relative to the depth of accumulated physicochemical knowledge. This review critically examines known and filtration-relevant interactions between ND surfaces and dissolved species, and evaluates how these interactions could be exploited in adsorption and filtration technologies. We compare the two technologically relevant ND classes—detonation nanodiamonds (DNDs) and high-pressure high-temperature (HPHT) NDs—and analyze the consequences of surface termination, defect structure, nitrogen content, and colloidal state for zeta potential, hydration, and interfacial reactivity in aqueous environments. A particular focus is placed on hydrogenated NDs, which exhibit an unusual combination of strongly positive electrokinetic response, pronounced interfacial water structuring, and surface electronic effects associated with charge transfer and particle structure that distinguish them from oxidized NDs and other carbon nanomaterials. We systematically review documented interactions between ND surfaces and relevant pollutant classes: multivalent metal ions, charged organic molecules, PFAS, and biomolecules, drawing on literature from water treatment, biomedicine, and chromatography to establish the breadth of ND interfacial chemistry. A central argument of this review is that the functional unit in ND-based filtration is the accessible ND surface: immobilization strategies that preserve surface exposure-electrostatic deposition, covalent grafting, and thermally assisted stabilization on inorganic supports-are critically distinguished from embedded composite approaches where ND surfaces are mostly buried and rendered passive. We identify the translation of these immobilization strategies to polymer membrane supports as the principal unresolved engineering challenge, and outline the role of ND structural heterogeneity, long-term surface stability, and scalable deaggregation as key scientific priorities for realizing the full potential of NDs in next-generation filtration systems.",crossref
Guiding Orthorhombic Phase Evolution in Ultrathin (&lt;4 nm) Hf0.5Zr0.5O2 on Germanium,https://doi.org/10.1021/acsami.6c07997,,ACS Applied Materials & Interfaces,2026-08-28 00:00:00+00:00,10.1021/acsami.6c07997,Chee Wee Liu,,"Abstract The integration of scalable, high-performance Hf0.5Zr0.5O2 (HZO) ferroelectric materials with high-mobility channels such as germanium is critical for next-generation logic and memory devices. However, maintaining robust ferroelectricity in films thinner than 5 nm remains a major challenge. In this study, we systematically investigate 3.7-nm HZO films incorporated into a titanium nitride/HZO/Ge capacitor structure. We demonstrate that a conventional single-step post-metallization annealing (PMA) process is insufficient for inducing strong ferroelectricity in ultrathin HZO films. To address this limitation, we formulate a synergistic strategy combining interface engineering with ZrO2-termination and a two-step annealing sequence comprising post-deposition annealing (PDA) followed by PMA. This approach stabilizes the ferroelectric orthorhombic o(020)/o(002) phase and produces robust remanent polarization and improved polarization–voltage loop (P–V loop) squareness, as reflected by an enhanced polarization ratio and (dP/dV)max. Consequently, polarization switching becomes more complete and the P–V loop becomes more rectangular. Comprehensive structural, spectroscopic, theoretical, and electrical analyses further confirm the effectiveness of this strategy. This study provides mechanistic insights into the integration of ultrathin ferroelectric HZO with Ge-based electronic platforms.",crossref
Structurally Engineered Polyimide Microsphere/Nanofibrous Gradient Aerogels with Enhanced Dust-Holding Capacity for High-Temperature Air Filtration,https://doi.org/10.1021/acsami.6c10042,,ACS Applied Materials & Interfaces,2026-08-28 00:00:00+00:00,10.1021/acsami.6c10042,Bin Ding,,"Abstract With the increasing emission of particulate matter (PM) from industrial and transportation activities, the demand for filtration materials exhibiting high thermal and chemical stability is growing. Nanofiber materials have attracted significant attention owing to their small fiber diameter, high porosity, and large specific surface area, which enhance their initial filtration efficiency. However, their densely packed architectures and uniform pore distributions lead to rapid surface cake formation, increasing airflow resistance and limiting dust-holding capacity. In contrast, three-dimensional gradient aerogel structures incorporate multiscale pore channels that facilitate depth filtration. Such architectures provide greater dust storage capacity and delay pore blockage, thereby significantly improving overall filtration performance. Here, gradient nanofiber aerogels (MGPAs) with a microsphere structure were successfully fabricated based on a single-component polyimide system. Utilizing single-component materials enhances recyclability and ensures uniform thermal expansion under temperature fluctuations, which is crucial for high-temperature filtration applications. The prepared material exhibits a dual-layer gradient nanofiber aerogel structure, comprising coarse fibers (≈730 nm) and medium fibers (≈300 nm). Furthermore, a composite functional layer composed of microspheres (≈3.34 μm) and ultrafine fibers (≈60 nm) was deposited onto the medium-fiber layer surface. Benefiting from this hierarchical structure, the MGPAs exhibit a PM0.3 filtration efficiency of 99.996%, with an initial pressure drop as low as 45.08 Pa, and a dust-holding capacity of 127 g/m2. Even at 300 °C, it maintains a filtration efficiency of 99.91%. This demonstrates their excellent thermal stability. The developed MGPAs offer significant potential for high-temperature exhaust gas filtration applications.",crossref
Dual-State Emissive Imidazole-Based Photoswitches by Design and Their Use for Data Encryption,https://doi.org/10.1021/acsami.6c10426,,ACS Applied Materials & Interfaces,2026-08-28 00:00:00+00:00,10.1021/acsami.6c10426,José Luis Belmonte-Vázquez,,"Abstract Herein, we report the rational design, synthesis, and photophysical characterization of a new family of N-substituted 2,4,5-arylimidazole derivatives that integrate excited-state intramolecular proton transfer (ESIPT) and intramolecular charge transfer (ICT) to achieve reversible photochromism. Solvatochromic studies revealed pronounced shifts in emission (392–457 nm) and large Stokes shifts (4252–7776 cm–1), indicating significant excited-state charge separation driven by the N,N-diethylamino donor group. Lippert–Mataga and time-resolved photoluminescence (TRPL) analysis confirmed the dominant ICT character, particularly for N-aryl derivatives (Δμ = 9.26–9.73 D), which exhibited larger dipole moment changes than N-alkyl derivatives (Δμ = 8.17–8.34 D). Upon UV irradiation (395 nm), reversible E/Z keto photoisomerization was observed both in solution and in the solid state, confirmed by UV-vis, photoluminescence, and infrared spectroscopy. Single crystal X-ray diffraction showed that N-alkyl chain length enhances torsional angles, directly influencing the photoswitching behavior and dual-state emissive properties with quantum yields of Φ = 25% in toluene and Φ = 77% in the solid state for IM-N-Bu. Thermal treatment (80 °C) enabled full reversibility in toluene and poly(methyl methacrylate) (PMMA) films over multiple cycles, which were applied to data encryption, demonstrating their potential in photonic and information security technologies.",crossref
Tuning Interparticle Interactions in Graphene Oxide Dispersions for Enhanced Shear-Induced Alignment,https://doi.org/10.1021/acsami.6c12671,,ACS Applied Materials & Interfaces,2026-08-28 00:00:00+00:00,10.1021/acsami.6c12671,So Youn Kim,,"Abstract The macroscopic behavior of colloidal materials is governed by interactions between their microscopic building blocks. In anisotropic colloidal systems, subtle variations in interparticle forces can lead to dramatic changes in phase behavior, flow response, and alignment under shear. Here, we systematically investigate how ionic strength controls the structural state, rheology, and alignment dynamics of aqueous graphene oxide (GO) dispersions, and how these effects translate into the performance of wet-spun fibers. By varying the NaCl concentration, we tune the GO system across three regimes: a jammed repulsive glass state at low salt, an aggregation-dominated state at high salt, and a relaxed soft glassy state that allows for structural rearrangement. In this intermediate regime (∼1–5 mM NaCl), the dispersions exhibit the lowest yield stress and the fastest domain reorientation under shear, as observed via shear polarized optical microscopy (shear-POM) and rheo-small-angle X-ray scattering (rheo-SAXS). When processed into fibers via wet spinning, dispersions from this regime yield markedly higher alignment, tensile strength, and electrical conductivity than those from either the jammed or the aggregated state. These findings establish a multiscale structure−rheology−alignment−property relationship in GO dispersions, in which shear-induced alignment is determined by the balance of interparticle interactions and the resulting structural state.",crossref
Biomimetic Diatom Surface-Enhanced Raman Scattering Microcavity Array with Multiscale Structure Synergy Enhancement,https://doi.org/10.1021/acsami.6c14286,,ACS Applied Materials & Interfaces,2026-08-28 00:00:00+00:00,10.1021/acsami.6c14286,Deyuan Zhang,,"Abstract Diatoms are a type of organism with a natural three-dimensional porous sieve chamber structure. Their sieve plates exhibit multi-level porous features and can control the distribution of light fields through micronano structures, generating resonance coupling and local field enhancement effects. Although surface-enhanced Raman scattering (SERS) substrates have achieved ultra-high sensitivity detection, they often encounter problems such as poor signal uniformity and uncontrollable molecular distribution. Inspired by the above-mentioned structural characteristics of diatoms, this paper mimics their three-dimensional porous sieve chamber structure to construct a biomimetic three-dimensional microcavity array SERS substrate. By combining the vertical microcavity structure and array design at the micronano scale, multi-scale collaborative enhancement is achieved. This substrate features a large-area high-order array structure, regular three-dimensional microcavities, and the scalability of functional modification. Through systematic regulation of the microcavity height, both experimental and simulation results reveal a significant cavity height-controlled SERS enhancement behavior, which is attributed to the effective coupling between the microcavity optical resonance and local surface plasmon hotspots. Additionally, the designed microcavity structure induces active enrichment of molecules during the drying of droplets, effectively suppressing the coffee ring effect. The minimum detectable concentration of rhodamine can reach 10–12 M, with good uniformity and repeatability. This biomimetic three-dimensional SERS substrate achieves a unified high sensitivity and uniformity through the collaborative effects at the nano, micro, and macro scales, providing a universal strategy for the structural design of high-performance SERS substrates.",crossref
Novel Multi-Pyridyl-Functionalized Spirobifluorenes as Precursor Additives for Improving Efficient and Stable Perovskite Solar Cells,https://doi.org/10.1021/acsami.6c13903,,ACS Applied Materials & Interfaces,2026-08-28 00:00:00+00:00,10.1021/acsami.6c13903,Jian Zhou,,"Abstract Significant advancement of additive engineering has primarily focused on the improved perovskite film quality by the regulation of crystallization rates or defect passivation, thereby enabling highly efficient and stable solar cells; however, current research on the incorporation of functional additives into perovskite precursor solutions to simultaneously gain crystallization improvement and reduced defects in the perovskite film remains a significant challenge. Herein, two novel multi-pyridyl-functionalized spirobifluorene additives (designated as SBF-3-py and SBF-4-py) achieved by a facile Suzuki cross-coupling reaction are first incorporated into the perovskite precursor for producing high-quality perovskite films. SBF-3-py or SBF-4-py with spirobifluorene and multiple pyridyl groups can form multi-site interactions with perovskite components, thereby improving the perovskite film crystallization, simultaneously passivating VI and PbI defects, modulating energy level alignment, and promoting carrier mobility. Consequently, the inverted perovskite solar cells (PSCs) with SBF-3-py or SBF-4-py treatment acquire a remarkably high power conversion efficiency (PCE) of 20.65 or 20.98% with low hysteresis, distinctly surpassing the control PSC (PCE = 18.67%), along with markedly improved stability. This work pioneers a new class of small organic additives for the simultaneous realization of crystallization improvement and defect reduction of the perovskite film in highly efficient and stable devices.",crossref
