title,link,source,published_str,pub_date,doi,last_author,abstract,abstract_source,must_have_abstract
Materials design for biocompatible electronics,https://www.nature.com/articles/s41563-026-02739-8,Nature Materials,2026-09-14 00:00:00 UTC,2026-09-14 00:00:00+00:00,10.1038/s41563-026-02739-8,Wei Fan,"Xuanhe Zhao, a professor at the Massachusetts Institute of Technology, talks to Nature Materials about the considerations of mechanical and materials properties to achieve biocompatible and stable bioelectronics.",rss_nature,0
Base gap switches as transcriptional regulators and their applications as biosensors,https://www.nature.com/articles/s44460-026-00134-z,Nature Sensors,2026-09-14 00:00:00 UTC,2026-09-14 00:00:00+00:00,10.1038/s44460-026-00134-z,Daniel A. Richards,"Abstract
                  
                    Transcriptional and translational regulators (‘switches’) function as biosensors by controlling how gene circuits respond to specific stimuli. However, contemporary switches suffer from spontaneous activation or off-target responses, limiting sensitivity and specificity. Here we introduce base gap switches, a class of programmable transcriptional regulators that are selectively activated by DNA. Base gap switches are simple to design and install, provide tight control of gene expression and exhibit high specificity and orthogonality. They can discriminate single-nucleotide mismatches and integrate with nucleic acid amplification methods. Using base gap switches, we developed an assay for
                    Trichomonas vaginalis
                    with a limit of detection of 0.6 copies μl
                    −1
                    and validated its performance using clinical samples. We further demonstrate a one-pot assay for differentiating
                    Neisseria gonorrhoeae
                    and
                    Chlamydia trachomatis
                    , and an assay for detecting single-nucleotide variants of
                    EGFR
                    -associated cell-free DNA. These results establish base gap switches as a versatile tool for gene circuit-based biosensing.",crossref,0
Filtering inputs for efficient intelligence systems,https://www.nature.com/articles/s41928-026-01698-x,Nature Electronics,2026-09-14 00:00:00 UTC,2026-09-14 00:00:00+00:00,10.1038/s41928-026-01698-x,Zegao Wang,"By deciding which visual inputs are task-relevant before computation starts, reconfigurable hardware can reduce unnecessary activations in artificial intelligence systems.",rss_nature,0
Minimizing climate change adaptation trade-offs in African rangelands,https://www.nature.com/articles/s41893-026-01938-0,Nature Sustainability,2026-09-14 00:00:00 UTC,2026-09-14 00:00:00+00:00,10.1038/s41893-026-01938-0,Morena Mills,"Abstract
                  Climate change is intensifying precipitation variability in southern African rangelands, challenging existing systems of pastoral management. Simultaneously, developments in weather forecast accuracy and access may enable pastoralists to effectively adapt to these conditions. Here we use a spatial agent-based model to study the benefits of weather forecasting for adaptive rangeland management with and without concurrent risk-smoothing interventions that buffer livestock losses during poor rainfall years. Given empirical and projected conditions across seven southern African countries, we show that precipitation variability can reduce average economic well-being and worsen inequality among pastoralists; that, when paired with the adaptive use of weather forecasting, risk-smoothing interventions such as the provision of supplemental fodder can buffer these effects without overstocking; and that risk smoothing is critical for scaling adaptive management practices. Overall, we show how pairing forecasts and risk smoothing can reduce trade-offs inherent to each intervention alone, supporting climate change adaptation at scale.",crossref,0
Light-to-token conversion using MoS2,https://www.nature.com/articles/s41928-026-01719-9,Nature Electronics,2026-09-14 00:00:00 UTC,2026-09-14 00:00:00+00:00,10.1038/s41928-026-01719-9,Matthew Parker,,,0
Lubricants from waste polyvinyl chloride,https://www.nature.com/articles/s44286-026-00447-3,Nature Chemical Engineering,2026-09-14 00:00:00 UTC,2026-09-14 00:00:00+00:00,10.1038/s44286-026-00447-3,Yanfei Zhu,,,0
Microwave-to-optical transduction using magnon–exciton coupling,https://www.nature.com/articles/s41563-026-02748-7,Nature Materials,2026-09-14 00:00:00 UTC,2026-09-14 00:00:00+00:00,10.1038/s41563-026-02748-7,Vinod M. Menon,"Quantum networks require coherent interfaces between microwave-frequency quantum systems and low-loss optical links. However, existing microwave-optical transducers often trade conversion efficiency against added noise, bandwidth and device integrability. Here we use magnon-exciton coupling in the layered antiferromagnet CrSBr to realize coherent microwave-to-optical transduction. Unlike previous magnon-based approaches that rely on intrinsically weak off-resonant magneto-optical effects, our scheme exploits strong light-matter interactions at exciton resonances. Driving the antiferromagnetic resonance with microwaves modulates the resonant excitonic susceptibility and generates coherent optical sidebands, detected using homodyne interferometry. Even in a bulk crystal without cavity enhancement, we observe coherent conversion over an intrinsically broadband ~300-MHz window. Multiple exciton-polariton resonances inherit the magnon-coupled response, indicating a route to broaden the usable optical detuning range and mitigate optical dissipation. Magnon-coupled excitons in layered magnets thus offer a scalable platform for broadband microwave-optical interfaces, with higher cooperativity achievable through reduced magnetic volume and cavity integration.",pubmed,0
Application-driven development of metal–organic frameworks,https://www.nature.com/articles/s41563-026-02705-4,Nature Materials,2026-09-14 00:00:00 UTC,2026-09-14 00:00:00+00:00,10.1038/s41563-026-02705-4,Quim Peña,"To increase the technological value of metal–organic frameworks (MOFs) and promote their translation into real-world applications, societal needs, market interests and industry requirements need to be considered early on in MOF research and development.",rss_nature,0
Marine carbon removal at a crossroads,https://www.nature.com/articles/s41558-026-02740-8,Nature Climate Change,2026-09-14 00:00:00 UTC,2026-09-14 00:00:00+00:00,10.1038/s41558-026-02740-8,Finn Ross,"Marine carbon dioxide removal must advance through rigorous, transparent science, but caution cannot become paralysis. With billions of tonnes of carbon removal likely to be needed each year, we need to test promising approaches responsibly while uncertainty remains.",rss_nature,0
Tumbling with control,https://www.nature.com/articles/s41928-026-01720-2,Nature Electronics,2026-09-14 00:00:00 UTC,2026-09-14 00:00:00+00:00,10.1038/s41928-026-01720-2,Katharina Zeissler,,,0
