title,link,source,published_str,pub_date,doi,last_author,abstract,abstract_source,must_have_abstract
A hidden leak in solids,https://www.nature.com/articles/s41560-026-02133-3,Nature Energy,2026-09-10 00:00:00 UTC,2026-09-10 00:00:00+00:00,10.1038/s41560-026-02133-3,Kisuk Kang,"Solid electrolytes have long been treated as materials that block electronic conduction while enabling fast lithium-ion transport. Two studies now show that residual electronic conductivity can drive self-discharge in solid-state batteries at open circuit, particularly in thin practical cells, and identify the limits needed to ensure long shelf life.",rss_nature,0
Lessons from lithium-ion battery development and commercialization,https://www.nature.com/articles/s44359-026-00203-z,Nature Reviews Clean Technology,2026-09-10 00:00:00 UTC,2026-09-10 00:00:00+00:00,10.1038/s44359-026-00203-z,Jihui Yang,Insights from lithium-ion battery commercialization can inform ongoing efforts in these batteries and others. This Expert Recommendation describes the development of lithium-ion batteries and lessons that can be applied across battery technologies.,rss_nature,0
Nanoscale visualization of plasmon-enhanced hydrogen activation on a Pt(111) surface,https://www.nature.com/articles/s41557-026-02245-z,Nature Chemistry,2026-09-10 00:00:00 UTC,2026-09-10 00:00:00+00:00,10.1038/s41557-026-02245-z,Naresh Kumar,"Abstract
                  
                    Efficient H
                    2
                    activation under mild conditions is crucial for achieving energy-efficient catalytic hydrogenation, but this remains a major challenge. Here we demonstrate nanoscale visualization of plasmon-enhanced H
                    2
                    activation on Pt(111) at room temperature under visible light by employing a combination of spectroscopic and modelling methods. In situ tip-enhanced Raman spectroscopy tracked H
                    2
                    activation through H-assisted desorption of an oligomeric phenylene–ethynylene thiolate reporter, while hyperspectral imaging revealed ~20% enhancement in the 180–300 nm region around the near field. Spectroscopic evidence and finite element method simulations excluded the plasmonic heating effect, whereas quantum calculations showed that hot electrons generated in the tip-enhanced Raman spectroscopy near field can efficiently drive H
                    2
                    dissociation via an indirect transfer mechanism. Notably, we found that activated H atoms propagate hundreds of nanometres beyond the near field through a collective crowd effect. These findings provide mechanistic insights into plasmon-enhanced H
                    2
                    activation on Pt surfaces and suggest future opportunities for energy-efficient catalytic hydrogenation.",crossref,0
Integrated photovoltaics need design innovation and cross-sector collaboration,https://www.nature.com/articles/s41560-026-02132-4,Nature Energy,2026-09-10 00:00:00 UTC,2026-09-10 00:00:00+00:00,10.1038/s41560-026-02132-4,Christophe Ballif,Integrated photovoltaics need design innovation and cross-sector collaboration,rss_nature,0
Ironing out the wrinkles,https://www.nature.com/articles/s41560-026-02127-1,Nature Energy,2026-09-10 00:00:00 UTC,2026-09-10 00:00:00+00:00,10.1038/s41560-026-02127-1,Atsushi Wakamiya,"Ultrawide-bandgap perovskites are essential for all-perovskite triple-junction solar cells, yet their high bromide content causes surface wrinkling and halide disorder, limiting the performance. A surface reconstruction and halide homogenization strategy now enables a certified efficiency of 29.3% in all-perovskite triple-junction devices.",rss_nature,0
Halogen-assisted sulfur oxidation,https://www.nature.com/articles/s41560-026-02086-7,Nature Energy,2026-09-10 00:00:00 UTC,2026-09-10 00:00:00+00:00,10.1038/s41560-026-02086-7,Remo Proietti Zaccaria,"Lithium-sulfur batteries have long been limited by lower operating voltage and shorter lifetime compared to traditional lithium-ion technologies. Now, system-level engineering enables the conversion of sulfur to disulfur dichloride, accessing the S+1 oxidation state, thereby delivering higher voltage and improved cycling stability.",rss_nature,0
Weaving braids of defect lines,https://www.nature.com/articles/s41563-026-02741-0,Nature Materials,2026-09-10 00:00:00 UTC,2026-09-10 00:00:00+00:00,10.1038/s41563-026-02741-0,Simon Čopar,"Colloidal particles steered by light weave the defect lines of a nematic liquid crystal into programmable crossings, realizing non-Abelian braiding operations that can be watched, reordered and compiled in real space.",rss_nature,0
Neural signal processing in an ionic gel,https://www.nature.com/articles/s41928-026-01684-3,Nature Electronics,2026-09-10 00:00:00 UTC,2026-09-10 00:00:00+00:00,10.1038/s41928-026-01684-3,Yujia Zhang,Ions in a multiphasic gel can exhibit complex cross-interface dynamics that can be used for neuromorphic processing.,rss_nature,0
Greening masks stability loss in drylands,https://www.nature.com/articles/s41558-026-02733-7,Nature Climate Change,2026-09-10 00:00:00 UTC,2026-09-10 00:00:00+00:00,10.1038/s41558-026-02733-7,William K. Smith,"The authors consider greening trends and interannual variability, linked to ecosystem stability, in dryland ecosystems across 40 years (1982–2020). They show persistent greening yet increased interannual variability, with the latter driven by increasing rainfall sensitivity.",rss_nature,0
Author Correction: Half-wave nanolasers and intracellular plasmonic lasing particles,https://www.nature.com/articles/s41565-026-02295-x,Nature Nanotechnology,2026-09-10 00:00:00 UTC,2026-09-10 00:00:00+00:00,10.1038/s41565-026-02295-x,Seok-Hyun Yun,Author Correction: Half-wave nanolasers and intracellular plasmonic lasing particles,rss_nature,0
Where global warming meets urban development,https://www.nature.com/articles/s41558-026-02743-5,Nature Climate Change,2026-09-10 00:00:00 UTC,2026-09-10 00:00:00+00:00,10.1038/s41558-026-02743-5,Andrew Sudmant,"Global warming and urban development combine to shape the temperatures people experience in cities. Here I revisit a 2016 attribution study of urban warming in China and consider what its legacy reveals about urban climate knowledge, responsibility and action.",rss_nature,0
An embroidered sensor for prosthetic monitoring,https://www.nature.com/articles/s41928-026-01718-w,Nature Electronics,2026-09-11 00:00:00 UTC,2026-09-11 00:00:00+00:00,10.1038/s41928-026-01718-w,Matthew Parker,,,0
Briefing Chat: The Bunsen burner myth that turns out to be just hot air,https://www.nature.com/articles/d41586-026-02893-8,Nature,2026-09-11 00:00:00 UTC,2026-09-11 00:00:00+00:00,10.1038/d41586-026-02893-8,Nick Petrić Howe,"Nature staff discuss an AI tool that can assess the impact of 9 billion mutations — plus, how the Bunsen burner’s reputation for sterilization might be based on tradition alone.",rss_nature,0
NSF moves to overhaul funding approach in line with White House priorities,https://www.nature.com/articles/d41586-026-02892-9,Nature,2026-09-11 00:00:00 UTC,2026-09-11 00:00:00+00:00,10.1038/d41586-026-02892-9,Dan Garisto,The major funder of basic science has not said how its new initiatives will be funded — but staff worry streamlined approach will further squeeze cash for core sciences.,rss_nature,0
Divergence between physical and emotional heat resilience in Chinese cities,https://www.nature.com/articles/s41558-026-02732-8,Nature Climate Change,2026-09-11 00:00:00 UTC,2026-09-11 00:00:00+00:00,10.1038/s41558-026-02732-8,Zhiqiang Wu,"Under increasingly frequent urban heatwaves, public emotional responses do not always align with levels of physical heat exposure, but the relationship between the two remains unclear. Here, using social media and meteorological data, we quantify the mismatch between physical heat exposure and public emotional responses from 2010 to 2024 in China, identify its drivers and project this relationship under different shared socioeconomic pathways. The results show that 84.9% of cities suffered high-intensity emotional shocks, substantially exceeding the 52.1% facing severe physical exposure, with underdeveloped regions showing especially prolonged emotional recovery. Physical resilience is mainly driven by socioeconomic and land-cover factors, while emotional resilience is more sensitive to the intensity and characteristics of heat events. The projections indicate that emotional responses declined about 26% faster than physical heat exposure over 2025–2050. The identified mismatch offers a scientific basis for differentiated heat-action planning to address physical and emotional vulnerabilities. Heatwaves threaten both physical and mental health, yet physical heat exposure and emotional responses often diverge. The study shows that 84.9% of Chinese cities experienced severe emotional shocks, compared with 52.1% facing severe heat exposure, driven by socioeconomic and environmental factors.",openalex,0
Compound and heterogeneous relationships between climate extremes and global net migration,https://www.nature.com/articles/s41558-026-02752-4,Nature Climate Change,2026-09-11 00:00:00 UTC,2026-09-11 00:00:00+00:00,10.1038/s41558-026-02752-4,Jacob Schewe,"Abstract
                  Climate extremes are increasingly disrupting livelihoods and shaping patterns of human mobility. Their longer-term and compounding relationships with migration remain understudied, particularly at the subnational scale. In this study, by analysing global subnational net migration data, we show that associations between climate extremes and migration vary by hazard type, timing, consecutive events, income level and pre-existing migration context. Floods are associated with decreased net migration across contexts, with effects lasting several years and appearing stronger in lower-income areas. Droughts, by contrast, show associations with net migration primarily in higher-income settings, with effects generally short-term. Tropical cyclones correspond to decreased net migration primarily in lower-income areas, with effects lasting over several years. For compound exposure, droughts show the clearest patterns, with prolonged exposure linked to reduced migration inflows in population-attracting areas. These results highlight how climate extremes interact with local socioeconomic contexts to shape mobility.",crossref,0
