title,link,source,published_str,pub_date,doi,last_author,abstract,abstract_source,must_have_abstract
Sialic acid-anchored haemagglutinin stalk neutralizing antibody M-SiaB enhances protection against highly pathogenic influenza H5N1/Texas/2024,https://www.nature.com/articles/s41467-026-74633-5,Biological sciences : Nature Communications subject feeds,2026-06-29 00:00:00 UTC,2026-06-29 00:00:00+00:00,,Zhiwei Chen,"The recently emerged cattle H5N1/Texas/2024 strain highlights the need for effective prophylactic and therapeutic drug interventions, yet most existing neutralizing antibodies (NAbs) have limited efficacy against genetically divergent pathogenic influenza viruses. Here we engineer a sialic acid-anchored tandem M-SiaB by fusing a hemagglutinin (HA) stalk-specific monoclonal NAb with a sialic acid-receptor-binding domain (SiaB). M-SiaB shows 4- to 20-fold greater neutralizing potency against diverse authentic influenza viruses compared to the parental NAb and suppresses multiple stages of the viral life cycle, including viral attachment, entry and release. Importantly, intranasal M-SiaB confers markedly enhanced protection against nasal challenges with the pathogenic H1N1/PR8 and H5N1/Texas/2024 strains. Notably, a single dose of M‑SiaB maintains survival after a highly lethal H5N1/Texas/2024 challenge for up to 21 days. These findings demonstrate that simultaneously targeting HA stalk and sialic acid-receptor is a promising strategy to enhance the potency and breadth of NAbs against genetically divergent pathogenic influenza viruses.",nature_html,0
How one US scientist is adapting to life abroad after DOGE cuts,https://www.nature.com/articles/d41586-026-01137-z,Nature,2026-06-29 00:00:00 UTC,2026-06-29 00:00:00+00:00,10.1038/d41586-026-01137-z,Sarah Wells,Sarah Weisberg is one of a number of scientists who have made the move to Europe for job security. Sarah Weisberg is one of a number of scientists who have made the move to Europe for job security.,nature_html,0
How AI can crack open the ‘hidden curriculum’ for neurodivergent students,https://www.nature.com/articles/d41586-026-01672-9,Nature,2026-06-29 00:00:00 UTC,2026-06-29 00:00:00+00:00,10.1038/d41586-026-01672-9,Keivan Stassun,Marisa Chrysochoou and Keivan Stassun argue that AI tools could help students to navigate academia’s unwritten rules. Marisa Chrysochoou and Keivan Stassun argue that AI tools could help students to navigate academia’s unwritten rules.,nature_html,0
What’s the human cost of US research turmoil? A new film finds out,https://www.nature.com/articles/d41586-026-01979-7,Nature,2026-06-29 00:00:00 UTC,2026-06-29 00:00:00+00:00,10.1038/d41586-026-01979-7,Max Kozlov,"Science is a complex, interconnected, deeply human enterprise involving hard grind — and funding cuts and grant delays have come as a sucker punch to many. Science is a complex, interconnected, deeply human enterprise involving hard grind — and funding cuts and grant delays have come as a sucker punch to many.",nature_html,0
Scientists fight back against far-right plans to restrict academic freedom in Germany,https://www.nature.com/articles/d41586-026-01496-7,Nature,2026-06-29 00:00:00 UTC,2026-06-29 00:00:00+00:00,10.1038/d41586-026-01496-7,Diana Kwon,"With the far-right Alternative for Germany leading in polls for national and state elections, institutions are facing up to proposed restrictions on academic freedom. With the far-right Alternative for Germany leading in polls for national and state elections, institutions are facing up to proposed restrictions on academic freedom.",nature_html,0
Cobalt-catalyzed asymmetric three-component reductive addition of alkynes with alkyl halides and imines,https://www.nature.com/articles/s41467-026-74433-x,Physical sciences : Nature Communications subject feeds,2026-06-29 00:00:00 UTC,2026-06-29 00:00:00+00:00,,Yifeng Chen,"The catalytic dicarbofunctionalization of alkynes is a highly efficient strategy for the rapid assembly of complex, multi-substituted acyclic alkenes from simple feedstocks. Despite significant progress having been made in various racemic transformations, the direct enantioselective construction of multi-substituted acyclic alkenes bearing sterically congested tetrasubstituted stereocenters via multicomponent radical pathways remains a formidable and unsolved challenge in organic chemistry. Herein, we report a cobalt-catalyzed asymmetric three-component radical addition of terminal alkynes, ketimines, and unactivated alkyl iodides, which efficiently delivers polysubstituted allylamine derivatives featuring challenging tetrasubstituted stereocenters. This enantioselective addition protocol proceeds under mild reductive conditions and exhibits broad substrate scope with high functional group tolerance, delivering products with excellent stereoselectivity. Preliminary mechanistic investigations suggest a radical-based cascade process involving stereospecific alkyl radical addition to the alkyne followed by stereoselective addition to the ketimine. This work provides a straightforward and modular strategy to access highly functionalized chiral allylic amines from readily available starting materials.",nature_html,0
Dissimilatory iodate-reducing microorganisms inhabit marine oxygen minimum zones,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag397/8721500?rss=1,National Science Review Advance Access,2026-06-29 00:00:00 UTC,2026-06-29 00:00:00+00:00,10.1093/nsr/nwag397,Yanxin Wang,"Based on theoretical thermodynamic calculations, microbial IO3− reduction precedes NO3− reduction, and it was previously proposed that dissimilatory iodate-reducing microorganisms (DIRMs) inhabit a unique niche above marine oxygen minimum zones (OMZs). Here we demonstrate that dissimilatory IO3− reduction lags behind NO3− reduction in two representative strains Azonexus hydrophilus NCP973 and Denitromonas iodatirespirans IR-12. Correspondingly, the functional genes idrABP1P2 for DIRMs were found to be exclusively distributed across depth profiles of global OMZs where NO3− reduction is active. Combined with widespread detection and heterologous expression of the idrABP1P2 of MAGs from the OMZs, these findings suggest that DIRMs inhabit marine OMZs and contribute to I− production and accumulation. As OMZs expand under global warming, DIRMs could enhance volatile iodine fluxes to the atmosphere by producing the precursor I−. Given the environmental health importance of atmospheric iodine, integrating this pathway into marine iodine biogeochemical models will improve our capability of understanding and predicting the future changes in oceanic iodine emissions.",rss_oup,0
Real-time robust autofocus method enabling sustained intravital scanning light field imaging,https://www.nature.com/articles/s41467-026-74976-z,Biological sciences : Nature Communications subject feeds,2026-06-29 00:00:00 UTC,2026-06-29 00:00:00+00:00,,Qionghai Dai,"Recent advances in computational microscopy enable highspeed high-resolution intravital 3D imaging with low phototoxicity. However, inevitable sample vibration and tissue deformation in multi-cellular organisms make it extremely challenging to maintain samples stably in focus over long-term even with an extended effective depth of field. Here, we propose a real-time robust autofocus method based on scanning light-field microscopy (AFsLF), enabling sustained high-speed 3D imaging of diverse samples across several days by continuously tracking the sample focal plane without hardware modifications. Based on the intrinsic disparity of light-field angular measurements, AFsLF estimates the focal plane with less than 2 µm error over a 500 µm depth range, completing within 0.1 s, 300-time faster than previous methods. We validate AFsLF across diverse tissues and challenging conditions, including low excitation power, multichannel illumination, and large axial displacements, enabling stable, long-term, multichannel subcellular imaging of neural activities and immune responses in mouse brain and liver.",nature_html,0
Development of efficient genetic toolkits and heterologous chassis for bioprospecting of myxobacteria,https://www.nature.com/articles/s41467-026-74908-x,Biological sciences : Nature Communications subject feeds,2026-06-29 00:00:00 UTC,2026-06-29 00:00:00+00:00,,Changsheng Wu,"Myxobacteria are renowned producers of structurally diverse bioactive natural products. Motivated by a comprehensive inventory of myxobacterial biosynthetic gene clusters (BGCs), we develop efficient genetic toolkits and construct a robust heterologous expression chassis. We identify a pair of Myxococcus-derived recombinases, designated MxRecET, that enables efficient genome editing in the model strain Myxococcus xanthus DK1622. The synergistic combination of MxRecET recombineering with the transposon-associated nuclease TnpB (ISDra2) enables versatile genetic manipulations, including seamless deletion of large DNA fragments (up to 200 kb), tandem editing of dual loci, and flexible single-nucleotide substitutions within a streamlined two-week workflow. This integrated technology, termed MxDIRECT, facilitates the rational engineering of DK1622 into a plug-and-play chassis designated MxPKS, featuring enhanced growth properties, elimination of competing pathways, an improved precursor supply, and increased robustness. The effectiveness of MxPKS is demonstrated through heterologous expression of four polyketide synthase BGCs, leading to the discovery of multiple unknown polyketides. This work establishes a foundation for accelerated bioprospecting of myxobacteria.",nature_html,0
Freestanding ferroelectric membranes via ionic unlocking van der Waals interface,https://www.nature.com/articles/s41467-026-74894-0,Physical sciences : Nature Communications subject feeds,2026-06-29 00:00:00 UTC,2026-06-29 00:00:00+00:00,,Yixin Yang,"Freestanding oxide films have attracted significant interest for their potential applications in flexible electronics. However, the common use of sacrificial layers hinders the development of freestanding oxide films that meet industrial demands for larger area, device-scalable thickness and low cost. Here, we present a water-assisted ionic unlocking strategy that enables the rapid exfoliation of centimeter-scale, freestanding ferroelectric Pb(Zr,Ti)O3 membranes from Pb(Zr,Ti)O3/Pt/Mica. Leveraging density functional theory and ab initio molecular dynamics simulations, we identify water-induced potassium ion leaching from the Mica substrate as a key interfacial weakening pathway that substantially reduces the Pt/Mica interfacial binding energy, thereby enabling crack propagation driven by capillary forces along the weakened interface. The resulting 1×1 cm2 Pb(Zr,Ti)O3 membranes demonstrate a remarkable piezoelectric coefficient of 528 pC N−1, approximately twice that of their clamped counterparts on Mica. Moreover, by incorporating these membranes, we fabricate self-powered flexible acoustic sensors for high-fidelity sound recording and speech recognition, achieving a speech recognition accuracy exceeding 93%. This work represents a significant advance in both the scalable fabrication of freestanding ferroelectric membranes and the engineering of high-performance flexible sensors.",nature_html,0
