title,link,source,published_str,pub_date,doi,last_author,abstract,abstract_source,must_have_abstract
Electrocatalytic galvanic cells: A paradigm toward spontaneous chemicals synthesis and electricity generation,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag396/8719657?rss=1,National Science Review Advance Access,2026-06-27 00:00:00 UTC,2026-06-27 00:00:00+00:00,10.1093/nsr/nwag396,Zhong-Shuai Wu,Electrocatalytic galvanic cells redefine electrochemical energy conversion by enabling the spontaneous co-production of chemicals and electricity from renewable and waste feedstocks.,crossref,0
Bispecific antibody engineered extracellular vesicles redirect T cells to prevent postoperative epidural fibrosis,https://www.nature.com/articles/s41467-026-74883-3,Biological sciences : Nature Communications subject feeds,2026-06-27 00:00:00 UTC,2026-06-27 00:00:00+00:00,,Zheng Zhang,"Epidural fibrosis (EF) is a frequent and debilitating complication that impairs recovery following spinal surgery, yet effective targeted therapies are lacking. Here we observe enrichment of FAP⁺ fibroblasts at surgical sites in patients after laminectomy. To therapeutically target this subset, we develop bispecific antibody–decorated extracellular vesicles (BsAb EVs), which redirect endogenous T cells to eliminate FAP⁺ fibroblasts in situ. In a preclinical model, BsAb EVs selectively eliminate pathogenic fibroblasts, reduce fibrotic collagen accumulation, and prevent the development of postoperative epidural fibrosis without detectable systemic toxicity under the tested conditions. Single-cell RNA sequencing reveals that FAP⁺ fibroblasts represent a transcriptionally distinct subset from α-SMA⁺ myofibroblasts, characterized by enhanced extracellular matrix remodeling and TGF-β production. Together, these findings highlight a critical stromal subset in EF pathogenesis and position BsAb EVs as a promising immunotherapeutic strategy for targeting pathogenic stromal cells in fibrotic and tissue-remodeling disorders.",nature_html,0
Hyperbranched dielectric polymer networks exhibiting giant energy storage density at 250 °C,https://www.nature.com/articles/s41467-026-74830-2,Physical sciences : Nature Communications subject feeds,2026-06-27 00:00:00 UTC,2026-06-27 00:00:00+00:00,,Qi Li,"Harsh-environment requirements of electrical and electronic systems demand advanced dielectrics with high energy storage density at elevated temperatures. Heat-resistant polymers are usually designed with densely packed molecular chains to maintain structural integrity. Unfortunately, the narrowed inter-chain spacing causes severe charge transfer under high electro-thermal fields, prohibiting capacitive energy storage beyond 200 °C. Here we report hyperbranched dielectric polymer networks as a solution to the persistent challenge. The hyperbranched topological junctions not only transform the linear polymer chains into a robust network to tolerate thermal stress, but also expand the inter-chain spacing to inhibit charge transfer. Results suggest that the hyperbranched networks exhibit suppressed secondary chain relaxation alongside expanded free volume. Moreover, the customizable chemical structure of hyperbranched centers renders this method general to capacitive polymer design. The hyperbranched polymer networks exhibit an exceptionally high discharged energy density of 4.9 J/cm3 above 90% efficiency at 250 °C, surpassing the existing polymeric dielectrics.",nature_html,0
Development and validation of a multiancestry and multitrait polygenic risk score for lung cancer,https://www.nature.com/articles/s41467-026-74964-3,Biological sciences : Nature Communications subject feeds,2026-06-27 00:00:00 UTC,2026-06-27 00:00:00+00:00,,Sipeng Shen,"Polygenic risk scores (PRSs) quantify genetic susceptibilities, yet ancestry imbalance in genome-wide association studies (GWASs) limits the accuracy of monoracial PRSs in non-European populations. Here, we perform a multiancestry GWAS meta-analysis for lung cancer (76,953 cases and 1,886,372 controls), identifying 87 conditionally independent genome-wide significant loci, including two unreported cytobands. We use a PRS construction method, PRS-CSx, to develop a multiancestry PRS (PRSMA"" role=""presentation"">PRSMA{{{{\rm{PRS}}}}}_{{{{\rm{MA}}}}}) which outperforms 32 published PRSs. To enhance predictive power, we construct a multitrait PRS (PRSMT"" role=""presentation"">PRSMT{{{{\rm{PRS}}}}}_{{{{\rm{MT}}}}}) using CatBoost, integrating 32 cross-trait PRSs across three ancestries. Combining PRSMA"" role=""presentation"">PRSMA{{{{\rm{PRS}}}}}_{{{{\rm{MA}}}}} and PRSMT"" role=""presentation"">PRSMT{{{{\rm{PRS}}}}}_{{{{\rm{MT}}}}}, we generate PRSMAMT"" role=""presentation"">PRSMAMT{{{{\rm{PRS}}}}}_{{{{\rm{MAMT}}}}} and validate it in independent cohorts (OncoArray, TRICL and All of Us). PRSMAMT"" role=""presentation"">PRSMAMT{{{{\rm{PRS}}}}}_{{{{\rm{MAMT}}}}} demonstrates superior discriminability in European, Asian, and African populations, improves risk stratification, and identifies approximately 10% additional lung cancer cases in the UK Biobank. Individuals with elevated PLCOm2012 scores and high genetic risk exhibit a 12.64-fold higher cumulative risk than those with low scores and low genetic risk, supporting precision prevention strategies.",nature_html,0
Splenic macrophage-B cell axis drives systemic autoimmune-like pathology in Cerebral Malaria,https://www.nature.com/articles/s41467-026-74882-4,Biological sciences : Nature Communications subject feeds,2026-06-27 00:00:00 UTC,2026-06-27 00:00:00+00:00,,Dan Lu,"Cerebral malaria (CM) is a severe complication of Plasmodium infection, classically attributed to parasite sequestration and neuroinflammation. Here, we uncover a spleen-centered humoral autoimmune circuit that drives CM pathology. Proteomic analyses identify CD36 as a dominant host-derived antigen enriched in infected red blood cells (iRBCs), triggering anti-CD36 autoantibody production in patients with falciparum malaria. Although contributing to iRBCs clearance, these autoantibodies also target other CD36-expressing cells, thereby driving thrombocytopenia, endothelial injury, and macrophage activation, ultimately amplifying systemic inflammation. Mechanistically, Plasmodium infection recruits Ly6c+Glut1hi macrophages to the spleen through the CCL2-CCR2 axis. These macrophages exhibit elevated proteasome activity and drive B cell activation and anti-CD36 antibody production. Targeting Ly6c+Glut1hi macrophages, we develop Glutoborin, a GLUT1-directed proteasome inhibitor that preferentially suppresses their function, reduces autoantibody production, and alleviates CM-associated pathology in vivo. Together, these findings establish a spleen-centered anti-CD36 autoimmune circuit as a key driver of CM and nominate Ly6c+Glut1hi macrophages as therapeutic targets.",nature_html,0
Multilayered control of mRNA delivery to cell protrusions drives localized mini-cytoplasm establishment for stress-induced cell activation,https://www.nature.com/articles/s41467-026-74864-6,Biological sciences : Nature Communications subject feeds,2026-06-27 00:00:00 UTC,2026-06-27 00:00:00+00:00,,Giacomo Donati,"In response to stress, cells exploit plasticity to self-activate and form protrusions that explore the environment and guide migration. While protrusion initiation is well characterized, their maturation and functional composition remain poorly understood. Here, using a new pooled genetic approach (ReGenT-seq) to interrogate chromatin factors controlling epidermal progenitor activation, we unexpectedly identified Cbx3 as a critical determinant of protrusion formation. Beyond its nuclear activities, we revealed a cytoplasmic moonlighting function of CBX3 that governs the subcellular localization of specific mRNAs within polarizing protrusions of migrating epidermal progenitor cells, as well as in invadopodia of squamous carcinoma cells. CBX3-dependent mRNA transport promotes the localized establishment of multiple organelles, including the endoplasmic reticulum and lysosomes, within maturing protrusions, and regulates focal adhesion dynamics. Together, our findings uncover a multilayered gene regulatory mechanism controlling cell motility through protrusionogenesis and identify a chromatin-to-cell-protrusion mRNA transport pathway that represents a potential therapeutic target for enhancing wound healing and limiting cancer invasion.",nature_html,0
In-scanner thoughts contribute to resting-state functional connectivity,https://www.nature.com/articles/s41467-026-74953-6,Biological sciences : Nature Communications subject feeds,2026-06-27 00:00:00 UTC,2026-06-27 00:00:00+00:00,,Peter A. Bandettini,"Resting-state fMRI (rsfMRI) scans—acquired in the absence of experimentally controlled stimuli or task demands—are widely used to identify aberrant patterns of functional connectivity (FC) in clinical populations. To minimize interpretational uncertainty, researchers routinely control for across-cohort disparities in age, gender, comorbidities, and head motion. Yet, studies rarely consider the possibility that systematic differences in inner experience (i.e., how subjects think and feel during the scan) directly affect FC measures. Here, using an rsfMRI dataset comprising 469 scans with retrospective experiential annotations, we show that summary descriptors of in-scanner experience are reproducible across visits and subject-specific, consistent with trait-like characteristics. We further show that widespread significant differences in FC are observed between scans that are associated with different reported experiential profiles, and that FC can predict specific experiential dimensions with performance comparable to that reported for demographic, cognitive, and clinical variables. Together, these findings highlight the key role that in-scanner experience should play when interpreting FC in the context of rsfMRI. Given that the available experiential measures are retrospective summaries, these results speak to stable experiential tendencies rather than potential moment-to-moment, state-dependent relationships between ongoing experience and concurrent brain activity.",nature_html,0
No cloning of quantum ensembles,https://www.nature.com/articles/s41467-026-74924-x,Physical sciences : Nature Communications subject feeds,2026-06-27 00:00:00 UTC,2026-06-27 00:00:00+00:00,,Xiao Yuan,"Modern quantum physics now enables control of quantum systems at the level of individual trajectories, opening a new frontier that links quantum information theory, quantum many-body physics, and quantum thermodynamics, and uncovers novel non-equilibrium phenomena such as deep thermalization and measurement-induced entanglement. However, a central challenge remains: their characterization relies on measuring nonlinear properties of individual quantum states, a task tantamount to fine-grained cloning of a quantum ensemble. Here, the fundamental laws governing the cloning of quantum ensembles are investigated. First, a general no-cloning theorem for arbitrary ensembles is established from an information-theoretic perspective, even assuming multiple copies of the ensemble’s purification. It is then shown that this barrier can be unexpectedly circumvented for physical ensembles generated by finite-time evolutions. Nevertheless, these tasks are proven to remain computationally intractable, even when the full circuit description of state preparation is known. This stands in sharp contrast to the conventional no-cloning theorem, which relies on the state being unknown. Together, these results establish new fundamental principles of quantum mechanics, reveal intrinsic trade-offs among sample complexity, computational complexity, and quantum measurements, and highlight the necessity of problem-specific strategies for probing measurement-induced quantum phenomena.",nature_html,0
Enhanced crystal-melt segregation within dynamic mush systems links silicic cumulates with caldera-forming eruptions,https://www.nature.com/articles/s41467-026-74812-4,Earth and environmental sciences : Nature Communications subject feeds,2026-06-27 00:00:00 UTC,2026-06-27 00:00:00+00:00,,Miguel Â. S. Basei,"Supported by the mush model, the origin of crystal-poor, high-silica rhyolitic magmas (≥ 75 SiO₂ wt.%) is commonly linked to melt extraction in shallow, crystalline mushes, yet their complementary cumulates remain elusive in the upper crust. Here we present the “dynamic mush model” for the Campo Alegre-Corupá system (Brazil), combining textural analysis and thermodynamic modeling to show that high-silica melts formed through upper-crustal fractionation, leaving a granitic residue and feeding a caldera-forming eruption. Syenites and melasyenites represent their silicic-mafic cumulates, the syenites being formed at relatively low crystallinities (~16-33 of bulk vol.%) after extraction of large amounts of interstitial melts (~47-80 of liquid vol.%). In contrast to static models (extraction window ~50-70 vol.%), our results indicate early melt segregation in a dynamic reservoir. Alkali-feldspar crystals were size-selectively and hydraulically sorted by upward melt flow; aggregates were then formed at low crystallinities, supposedly via synneusis, enabling rapid sinking, and were repacked by recharge. This process, enhanced by relatively high magma fluxes, efficiently separated crystals from melt, explaining the origin of large-volume eruptible magmas in the upper crust. Our findings redefine mush evolution while underscoring the role of flow-driven crystal sorting (elutriation) in caldera-forming systems.",nature_html,0
Metal-center electron affinity modulates multicolor electrochromism in 2D conjugated metal-organic frameworks,https://www.nature.com/articles/s41467-026-74941-w,Physical sciences : Nature Communications subject feeds,2026-06-27 00:00:00 UTC,2026-06-27 00:00:00+00:00,,John Wang,"Two-dimensional conjugated metal-organic frameworks are emerging platforms for electrochromic devices, yet the current stage is limited by monotonous color and an unclear coloration mechanism. While prior studies emphasize the ligand-centered redox process, the role of metal centers is often overlooked. Herein, we report a metal-center electron-affinity mechanism that is critical to electrochromic performance. We first employ an unsupervised machine learning method to screen divalent metal-catecholate (CAT) systems, identifying Zn, Ni, and Cu as optimal candidates. All three systems exhibit multicolor transitions from green to blue and eventually to purple; however, Zn- and Ni-CAT-1 significantly outperform Cu-CAT-1, with nearly threefold faster switching speeds (4.8/5.4 vs. 14.4 s) and cycling stability enhanced by two orders of magnitude ( > 20000 vs. 2+ (3d9) possesses a redox-active configuration that favors electron affinity, thereby requiring additional electron participation and a higher energy demand than the relatively inert Ni2+ (3d8) and Zn2+ (3d10). This valence variation also induces stronger metal-oxygen coupling, ultimately leading to slower redox kinetics and structural degradation. As proof of concept, we demonstrate the applicability of these findings to camouflage, displays, and wearables for designing multicolor electrochromic devices.",nature_html,0
