title,link,source,published_str,pub_date,doi,last_author,abstract,abstract_source,must_have_abstract
Conditional Transmembrane Peptides as Allosteric Modulators: Thermodynamic and Functional Perspectives in Membrane Protein Regulation,https://pubs.acs.org/doi/10.1021/acs.chemrev.6c00122,Chemical Reviews: Latest Articles (ACS Publications),2026-07-08 00:00:00 UTC,2026-07-08 00:00:00+00:00,10.1021/acs.chemrev.6c00122,Francisco N. Barrera,"Membrane proteins participate in most cellular processes from sensing the cellular environment to regulating gene expression. The fundamental unit in eukaryotic membrane proteins is the transmembrane (TM) helix, which in addition to anchoring the protein to the lipid bilayer, often plays a central functional role. We review here advances in our understanding of the factors underpinning the thermodynamic stability of TM helices in cellular membranes. Interestingly, a class of TM sequences exists that has the ability to, when isolated as a peptide, be stable both in solution and in the membrane. This Review covers such conditional TM peptides, including their discovery in the form of the pHLIP peptide, the factors that determine their membrane insertion, and the basis for their use in cancer theranostics. We also discuss how this knowledge has been the conceptual basis for the design of sequences that partition into lipid bilayers and target membrane proteins. These peptides act as both positive and negative allosteric regulators of their membrane targets. Such TM allosteric conditional peptides (TMACs) additionally constitute tools that can advance our understanding of the activity and regulation of membrane proteins.",pubmed,0
Programming curved atomic active sites in carbon dots through curvature-coordination coupling,https://www.cell.com/matter/fulltext/S2590-2385(26)00277-8?rss=yes,Matter,2026-07-08 00:00:00 UTC,2026-07-08 00:00:00+00:00,10.1016/j.matt.2026.102914,Chuangang Hu,"Curved carbon dots offer a geometry-defined platform for integrating curvature with second-shell coordination in atomic active sites. This cooperative regulation places Ni sites in an optimal electronic regime, raising intrinsic urea oxidation activity by nearly 20-fold and enabling energy-efficient hydrogen production with concurrent urea-containing waste remediation.",rss_cell,0
Breaking the power ceiling of radiative cooling through evaporative-radiative synergy,https://www.cell.com/matter/fulltext/S2590-2385(26)00244-4?rss=yes,Matter,2026-07-08 00:00:00 UTC,2026-07-08 00:00:00+00:00,10.1016/j.matt.2026.102881,Jinping Qu,"Traditional radiative cooling faces low cooling limits and environmental restrictions. This review introduces evaporative-assisted radiative cooling, revealing its synergistic thermodynamics to break the power ceiling of radiative cooling. It summarizes related material designs and diverse applications, and discusses key challenges, offering guidelines for advanced passive cooling toward energy sustainability. This work provides a comprehensive roadmap to advance next-generation passive cooling research and real-world implementation.",rss_cell,0
Reconfigurable Multistate Optical Memory in Mixed Halide Perovskites,https://pubs.acs.org/doi/10.1021/acsami.6c06430,ACS Applied Materials & Interfaces: Latest Articles (ACS Publications),2026-07-08 00:00:00 UTC,2026-07-08 00:00:00+00:00,10.1021/acsami.6c06430,Erik C. Garnett,"The von Neumann bottleneck presents a growing challenge for the emerging prominence of data-intensive computing, such as large language model training. Optical memory in materials that could also perform computation offers a promising solution. Here, we report a reconfigurable multistate optical memory based on mixed halide perovskites (MHPs), leveraging their dynamic ionic behavior under femtosecond pulsed excitation. We find that the photoluminescence (PL) emission wavelength encodes excitation parameters as volatile, rewritable memory states. These states exhibit long-lived retention and can be rapidly erased via thermal pulses. By tuning excitation power and repetition rate, we achieve precise control over the PL wavelength, enabling analog-like synaptic behavior. Spatially resolved writing of multiple states within a single film highlights the potential for high-density memory. Our findings position MHPs as active photonic materials capable of storing and processing optical information, offering a path toward a scalable platform for low-power, high-bandwidth memory and neuromorphic computing.",pubmed,0
Aging-Tolerant Precursor Solution for Perovskite Solar Cells Enabled by Phosphite-Assisted Chemical Protection,https://pubs.acs.org/doi/10.1021/acsami.6c07524,ACS Applied Materials & Interfaces: Latest Articles (ACS Publications),2026-07-08 00:00:00 UTC,2026-07-08 00:00:00+00:00,10.1021/acsami.6c07524,Liang Li,"Despite rapid advances in the power conversion efficiency of perovskite solar cells, stability issues arising from the degradation of both the perovskite precursor solution and film remain a significant challenge for commercialization. Here, we demonstrate full lifecycle management of perovskite solar cells by introducing triphenyl phosphite as a beneficial additive into the perovskite precursor solution. Triphenyl phosphite not only stabilizes the precursor solution by preventing iodide oxidation and deprotonation of organic cations but also enables the formation of perovskite films with enhanced crystallinity, reduced defect density, and enhanced long-term stability under aging conditions. The optimized n-i-p perovskite solar cells deliver a certified power conversion efficiency of 26.6%. The target device retains 90% of its initial efficiency after 600 h of continuous illumination under maximum power point tracking. Notably, even after aging for 21 days in ambient air, the triphenyl phosphite-containing precursor solution can still yield perovskite solar cells with efficiencies comparable to those fabricated from fresh precursor solutions. These results provide a practical strategy and guiding framework for improving the stability of both perovskite precursor solutions and perovskite films.",pubmed,0
Immobilization of Single Ni Sites and Separated Pd Clusters in Covalent Organic Framework for Enhanced Electrochemical Reduction of Nitrite to Ammonia,https://pubs.acs.org/doi/10.1021/acsami.6c08585,ACS Applied Materials & Interfaces: Latest Articles (ACS Publications),2026-07-08 00:00:00 UTC,2026-07-08 00:00:00+00:00,10.1021/acsami.6c08585,Jie-Sheng Chen,"The electrochemical reduction of nitrite (NO2-) to ammonia (NH3) offers a promising strategy for simultaneously purifying wastewater and producing value-added chemicals. The metal active site struggles to simultaneously optimize the adsorption strengths of NO2- and H*, resulting in a mismatch between the kinetics of intermediate activation and hydrogenation. In this work, we construct a composite catalyst of NiSS-COF/Pd ICs, which enhances the catalytic performance by precisely incorporating nickel single sites (NiSS) and Pd metal-isolated clusters (Pd ICs) into covalent organic frameworks. Thus, NiSS-COF/Pd ICs exhibit an NH3 production rate of 20.9 mg h-1 mgcat-1 and a high NH3 Faradaic efficiency of 95.5% at -1.0 V (vs RHE). With -1.3 V applied, NiSS-COF/Pd ICs yielded 35.3 mg h-1 mgcat-1 NH3, the turnover number reached 58421, and the turnover frequency was 3436.8 h-1 per Ni. The NiSS tunes electronic structures to boost NO2- adsorption, while Pd ICs generate H* via these H* migrate to Ni sites, facilitating rapid hydrogenation and synergistic catalysis. As a result, the NiSS-COF/Pd ICs catalyst enables efficient electrochemical conversion of NO2- to NH3, delivering high Faradaic efficiency and enhanced NH3 production. Overall, this work presents a novel design strategy for developing synergistic catalytic systems that integrate single sites with metal-isolated clusters.",pubmed,0
Bilayer TeO 2 : The First Predicted Oxide Semiconductor with Symmetric Sub-5-nm NMOS and PMOS,https://pubs.acs.org/doi/10.1021/acsami.6c09897,ACS Applied Materials & Interfaces: Latest Articles (ACS Publications),2026-07-08 00:00:00 UTC,2026-07-08 00:00:00+00:00,10.1021/acsami.6c09897,Jing Lu,"Wide-band-gap oxide semiconductors are very promising channel candidates for next-generation electronics due to their large-area manufacturing, high-quality dielectrics, low contact resistance, and low leakage current. However, the absence of ultrashort-gate-length (Lg) p-type transistors has restricted their application in future complementary metal oxide semiconductor (CMOS) integration. Inspired by the successfully grown high-hole-mobility bilayer (BL) β-tellurium dioxide (β-TeO2), we investigate the performance of sub-5-nm Lg BL β-TeO2 field-effect transistors (FETs) by utilizing first-principles quantum transport simulation. The distinctive anisotropy of BL β-TeO2 yields different transport properties. In the y direction, both the sub-5-nm Lg n-type and p-type BL β-TeO2 FETs can fulfill the International Technology Roadmap for Semiconductors (ITRS) criteria for high-performance (HP) devices, which are superior to the reported oxide FETs (only n-type). Remarkably, we for the first time demonstrate the existence of the NMOS and PMOS symmetry in sub-5-nm Lg oxide semiconductor FETs. As to the x direction, the n-type BL β-TeO2 FETs satisfy both the ITRS HP and low-power (LP) requirements with Lg down to 3 nm. Consequently, our work sheds light on the tremendous prospects of BL β-TeO2 for CMOS applications.",pubmed,0
"Tunable, High-Relaxivity Gd(III)-Conjugated Lipoic Acid Hydrogels for Magnetic Resonance Imaging",https://pubs.acs.org/doi/10.1021/acsami.6c09115,ACS Applied Materials & Interfaces: Latest Articles (ACS Publications),2026-07-08 00:00:00 UTC,2026-07-08 00:00:00+00:00,10.1021/acsami.6c09115,Thomas J. Meade,"A lipoic acid(LA)-base hydrogel polymerization, viscosity, and relaxivity were explored by varying several different bases, additives, Gd3+ chelates, and with or without a reducing agent (tris(2-carboxyethyl)phosphine, TCEP). The polymerization of LA was greatly improved by using TCEP to convert the more inert disulfides into thiol initiators. The base deprotonation of LA was found to be essential to solubilize LA for polymer propagation. The various bases and TCEP additions had a substantial effect on viscosity, with values ranging from 1 × 108 to 1 × 103 mPa·s. This can enable targeting of many different applications that depend on viscosity, such as topical ointments or injectable hydrogels. The relaxivity effects of the LA-hydrogels were explored by varying the Gd3+ chelates' inner-sphere coordination or by adding one or two sulfur atoms, thereby allowing for a terminal or internal-linking Gd3+ chelate. It was found that the inner sphere and microenvironment dominate the relaxivity of Gd3+ chelates in the LA-hydrogel, with a high relaxivity of r1 = 49.2 ± 1.2 mM-1 s-1 at 1.4 T and 37 °C. Cellular uptake was confirmed by confocal fluorescence microscopy, and contrast was assessed in vivo at 9.4 T.",pubmed,0
Autonomous control of quantum-confined CsPbBr3 nanoplatelets,https://www.cell.com/matter/fulltext/S2590-2385(26)00278-X?rss=yes,Matter,2026-07-08 00:00:00 UTC,2026-07-08 00:00:00+00:00,10.1016/j.matt.2026.102915,Milad Abolhasani,"An autonomous microfluidic platform combines flow chemistry, real-time spectroscopy, and Bayesian optimization to discover high-quality CsPbBr3 nanoplatelets with targeted optical properties. The system rapidly identifies synthesis conditions that control quantum confinement, emission color, and photoluminescence efficiency, while generating data-driven insight into nanoplatelet growth mechanisms. The optimized conditions translate directly to steady-state continuous manufacturing, demonstrating how self-driving laboratories can accelerate the discovery and scalable production of advanced quantum materials.",rss_cell,0
Squeezing Gas Diffusion Electrodes in Zero-Gap CO 2 Electrolyzers─Enough Is Enough,https://pubs.acs.org/doi/10.1021/acsami.6c07060,ACS Applied Materials & Interfaces: Latest Articles (ACS Publications),2026-07-08 00:00:00 UTC,2026-07-08 00:00:00+00:00,10.1021/acsami.6c07060,Balázs Endrődi,"Recent scientific advancements indicate that the electrochemical reduction of carbon dioxide to carbon monoxide (CO2RR) is approaching industrial viability. Beyond scientific achievements, technology scale-up requires a full understanding of how certain cell components are to be used for long-term optimal performance and of what other challenges are posed by the larger sizes. Here, we investigated in detail how varying the compression ratio of the cathode gas diffusion electrode affects the electrochemical performance, using three fundamentally different carbon-based cathode supports. Electrochemical impedance spectroscopy and microtomography measurements are presented to explain the observed changes in the electrolysis performance, while the cathodes were gradually compressed to below 40% of their original thickness. The optimal compression range depends on the properties of the gas diffusion layer. Notably, a more than 100 μm wide optimal compression range is found for the thick ELAT1400W gas diffusion layer (i.e., a compression to 60-85% of its original thickness), which is further confirmed in 100-h-long experiments.",pubmed,0
