title,link,source,published_str,pub_date,doi,last_author,abstract,abstract_source,must_have_abstract
Deactivating Emission in Azulene via Solvent-Induced (Anti)Aromaticity,https://pubs.acs.org/doi/10.1021/jacs.6c09744,Journal of the American Chemical Society: Latest Articles (ACS Publications),2026-07-14 00:00:00 UTC,2026-07-14 00:00:00+00:00,10.1021/jacs.6c09744,Andrew J. Musser,"Anti-Kasha emission is a coveted feature in optoelectronics, with promise in areas such as imaging, sensing, and the production of white-light LEDs via dual-photon emission. Despite being a rare feature in organic systems, anti-Kasha emission is readily observed in the deceptively simple molecule azulene, which possesses two bright singlet states in the UV-visible spectrum and readily emits from the S2 state. With dominant anti-Kasha emission and decades of synthetic study, azulene is a perfect candidate for novel material fabrication; however, large gaps persist in understanding the photophysics of even the simple parent compound. These range from competing, experimentally unverified models of azulene reactivity and aromaticity to the unexplained deactivation of anti-Kasha emission in a host of azulene derivatives. Herein, we use fluorescence and transient absorption spectroscopies to explore the detailed solvent dependence of azulene photophysics. We discover a tunable reduction in the S2 lifetime via weak complexation with aromatic solvents. Interestingly, our results are independent of polarity, highlighting the primacy of peripherally delocalized 10-π Hückel aromaticity over zwitterionic character. When the dipolar character is enhanced through chemical functionalization, we observe even greater sensitivity to solvent aromaticity and more rapid quenching, revealing the role of conical intersections in azulenes with zwitterionic excited states. Overall, this work provides essential mechanistic insight into the photophysics of azulene and reveals a simple new approach to control the excited-state aromaticity and anti-Kasha emission in this class of materials.",pubmed,0
Scalable B–B Single-Bond Formation via Boron-Centered Carboranyl Radicals: Boryl-Carborane for Boron Neutron Capture Therapy Applications,https://pubs.acs.org/doi/10.1021/jacs.6c09199,Journal of the American Chemical Society: Latest Articles (ACS Publications),2026-07-14 00:00:00 UTC,2026-07-14 00:00:00+00:00,10.1021/jacs.6c09199,Zuowei Xie,"For many decades, interest in the medical application of boron chemistry focuses mainly on the boron neutron capture therapy (BNCT) approach to cancer treatment, which is a transformative binary-targeted radiotherapeutic modality, yet its global clinical translation is limited by the lack of high-performance boron delivery agents. Icosahedral carboranes hold unparalleled potential for the development of BNCT agents due to their exceptional boron density, excellent metabolic stability, and unique 3D architecture, but their biomedical application is hampered by intrinsic superhydrophobicity, poor tumor targeting, and limited theragnostic modifiability. Herein, we report a class of boryl-carboranes as multifunctional boron-bearing building blocks that directly address these long-standing limitations. The pendant borane moiety is readily converted to B(OH)2 for tumor targeting and enhanced aqueous solubility, and to BF3K for 18F-PET theragnostic integration. To enable scalable synthesis, we develop the electron donor-acceptor (EDA) complex-based strategy for the controllable generation of boron-centered carboranyl radicals from N-hydroxyphthalimide (NHPI) carboranyl carboxyl esters. This additive-free, room-temperature photochemical strategy enables boron-centered carboranyl radical-mediated unsymmetrical B-B bond construction, with decagram-scale production achieved via a continuous-flow system. Mechanistic studies confirm the EDA complex-mediated radical pathway. In vitro and in vivo studies demonstrate that these boryl-carboranes exhibit excellent biosafety, favorable aqueous solubility, and better tumor boron uptake and accumulation than clinically established agents, rendering this platform potential for next-generation BNCT therapeutics.",pubmed,0
Photocatalytic Oxidative Coupling of Methane over SrTiO 3 Overlayers on Au Nanoparticles,https://pubs.acs.org/doi/10.1021/jacs.6c01992,Journal of the American Chemical Society: Latest Articles (ACS Publications),2026-07-14 00:00:00 UTC,2026-07-14 00:00:00+00:00,10.1021/jacs.6c01992,Feng Wang,"Photocatalytic oxidative coupling of methane (OCM) is a prevailing method to access multicarbon (C2+) hydrocarbons. However, the kinetically slow C-C coupling of the methyl radical hinders the overall methane coupling reaction and leads to overoxidation side reactions. Here we report photocatalytic OCM over SrTiO3 supported, SrTiO3 overlayer coated Au nanoparticles (Au@SrTiO3). The SrTiO3 support and overlayers capture photogenerated holes to activate the methane C-H bond. C-C coupling between the methyl radical intermediate is rate limiting and occurs with an improved selectivity of 93% over the SrTiO3 overlayers on Au nanoparticles (NPs). The Au@SrTiO3 catalyst is stable for more than 300 h, affording C2H6 with a formation rate of 155 μmol h-1, 7 times that of Au/SrTiO3 without SrTiO3 overlayers. The activity is improved to 1050 μmol h-1 with a C2+ selectivity of 94% by increasing Au@SrTiO3 loading to harvest more light. These figures of merits are comparable with the benchmarking photocatalysts for OCM by elucidating the chemistry of C-C coupling sites.",pubmed,0
Electric field-engineered bimetallic MXene for ultra-sensitive SERS sensors,https://www.cell.com/matter/fulltext/S2590-2385(26)00284-5?rss=yes,Matter,2026-07-14 00:00:00 UTC,2026-07-14 00:00:00+00:00,10.1016/j.matt.2026.102921,Yong Yang,"By applying an external electric field to bimetallic Ti2TaC2 MXenes, this work reconstructs the near-Fermi electronic structure and simultaneously enhances the photo-electric-induced charge transfer and plasmon-associated electromagnetic enhancement. The electrically gated Ti2TaC2 SERS substrate enables R6G detection down to 10−13 M, achieving a three-orders-of-magnitude improvement over the optical excitation alone and providing a tunable route toward high-sensitivity, non-noble-metal molecular sensing.",rss_cell,0
A Multifunctional Electrocatalyst for Formate Production with Concurrent Hydrogen Evolution and Electrochemical Hydrogenation of Glucose to Sorbitol,https://pubs.acs.org/doi/10.1021/acsami.6c07887,ACS Applied Materials & Interfaces: Latest Articles (ACS Publications),2026-07-14 00:00:00 UTC,2026-07-14 00:00:00+00:00,10.1021/acsami.6c07887,Andreu Cabot,"Electrochemical valorization of biomass-derived glucose offers a promising route for the sustainable coproduction of valuable chemicals and green hydrogen, yet hinges on the development of cost-effective, multifunctional catalysts. Here, we report a noble metal-free core-shell catalyst, Cu@CoFe2O4, that drives both anodic glucose oxidation and cathodic hydrogen evolution or glucose hydrogenation in a single system. In alkaline media (1 M KOH), the catalyst achieves a glucose conversion of 97.5% with a Faradaic efficiency (FE) of 91.2% toward formate at 1.3 V vs RHE, while enabling hydrogen evolution with 100% FE. In a neutral electrolyte (0.1 M Na2SO4), the same electrode facilitates the selective electrochemical reduction of glucose to sorbitol with an FE of 87.5% and 76% conversion at -0.4 V vs RHE. Experimental and computational analyses suggest that the Cu-rich core/CoFe2O4-rich shell-like heterostructure enhances charge transfer and provides complementary active sites, contributing to the observed activity toward both glucose oxidation and hydrogenation pathways. This work highlights a versatile, earth-abundant electrocatalytic platform for biomass conversion and sustainable hydrogen generation.",pubmed,0
"Ultrabright Upconversion in Thermally Crystallized BaYF 5 :Yb,Er Glass-Ceramics via Dopant Enrichment for Reconfigurable Optical Data Encoding and Logic Operations",https://pubs.acs.org/doi/10.1021/acsami.6c11783,ACS Applied Materials & Interfaces: Latest Articles (ACS Publications),2026-07-14 00:00:00 UTC,2026-07-14 00:00:00+00:00,10.1021/acsami.6c11783,Qiming Zhang,"All-optical data encoding provides a route to ultrafast, low-energy photonic memory and computation, yet its implementation is hindered by weak nonlinearities and low emission efficiencies in conventional materials. Upconversion luminescence offers strong nonlinear behavior, but typical hosts suffer from inefficient energy transfer, dilute and randomly distributed dopants, and complex excitation demands. Here, we report thermally crystallized BaYF5:Yb,Er glass-ceramics that overcome low upconversion efficiency and dopant inhomogeneity through controlled Er3+ enrichment within BaYF5 nanocrystals. Thermal crystallization reduces interionic distances, promoting cooperative Yb3+-Er3+ sensitization and Er3+-Er3+ energy migration. The combination of theoretical modeling and experiments shows efficient population of high-energy emitting states, yielding ultrabright upconversion emission with enhancement factors of 113-, 118-, and 110-fold for the blue, green, and red channels under 980 nm excitation. Optimized nanocrystals also prolong emission lifetimes, suppress nonradiative relaxation, and produce clear saturation behavior. Leveraging strongly nonlinear responses, power- and pulse-width-modulated excitation enables precise control of both spectral and temporal outputs, forming a highly reconfigurable platform. This allows multidimensional data encoding and implementation of fundamental optical logic gates with high fidelity and self-referenced decoding. The system offers robust, secure, and scalable functionality for advanced all-optical information processing applications.",pubmed,0
Versatile Morphological Control of Cobalt Metal−Organic Frameworks with Enhanced Catalytic Activity by Simple Tuning of Precursor Conditions,https://pubs.acs.org/doi/10.1021/acsami.6c10335,ACS Applied Materials & Interfaces: Latest Articles (ACS Publications),2026-07-14 00:00:00 UTC,2026-07-14 00:00:00+00:00,10.1021/acsami.6c10335,Pablo Taboada,"Metal-organic frameworks (MOFs) present a huge chemical and structural tuneability with enhanced porosity and surface area, offering new applications in the fields of catalysis, drug delivery, chemical/biosensing, or rechargeable batteries. However, their properties not only reside on their composition and structure but also strongly depend on their morphology, introducing a new important parameter during their synthesis. For this reason, a precise morphological control is crucial for applications where the shape and size of MOF crystals directly determine their specific surface area, accessibility of active sites, and adsorption capacity. This work presents a rational study to optimize the morphology of MOFs by using as a playground zeolitic imidazolate frameworks (ZIFs), an emerging subclass of MOFs. The most important synthetic parameters, namely, the molar ratio between the metal precursor (Co2+) and the organic ligand (2-methylimidazole) as well as the concentration of the surfactant used as a modulator and stabilizer (cetyltrimethylammonium bromide, CTAB), are controlled to optimize the size, shape, distribution, and structure of the obtained ZIF nanoMOFs. We demonstrate that keeping the organic ligand as the excess reagent is crucial for achieving stable and uniform porous nanocrystals, highlighting the importance of precise stoichiometric control during the nanoMOF synthesis. When maintaining a constant Co2+:Hmim molar ratio, the use of high CTAB concentrations (4.0 mM) in the synthesis results in the formation of cubic ZIF-67 nanostructures with sizes around 80 nm. As the concentration of CTAB decreases, the nanocubes develop spikes, and at concentrations below 1.5 mM, these evolve into flower-like structures with crossed spikes. This morphological transition underscores the critical role of CTAB concentration in dictating the final shape and size of the porous nanostructures. Moreover, at low metal-to-ligand ratios, a potential new structural polymorph emerges. All these findings are corroborated by a complete structural, imaging, composition, and functional characterization that confirms a notable catalytic activity of MOFs to degrade the dye RhB in aqueous solution.",pubmed,0
"Engineering a Reversible Primary Battery Structure in SrZnOS:Eu 2+ ,Dy 3+ for Multi-Modal Red Luminescence",https://pubs.acs.org/doi/10.1021/acsami.6c09080,ACS Applied Materials & Interfaces: Latest Articles (ACS Publications),2026-07-14 00:00:00 UTC,2026-07-14 00:00:00+00:00,10.1021/acsami.6c09080,Dangli Gao,"Rational design of Eu2+-activated red phosphors under visible light excitation remains a critical challenge in various fields such as photonics, optoelectronics, and white-light-emitting diodes. Herein, we engineer high density traps with a double metastable state in the SrZnOS matrix by constructing the reversible infinitesimal photoelectrochemical layered micro-unit battery structure via co-doping Eu2+ and Dy3+ ions for achieving robust red luminescence. The resulting SrZnOS:Eu2+,Dy3+ phosphor exhibits intense red photoluminescence at 620 nm under 468 nm excitation, matching the emission intensity of commercial SrAl2O4:Eu2+,Dy3+ under UV irradiation. Notably, this material exhibits multi-modal luminescence, encompassing red persistent luminescence along with tunable photo/thermo/mechano-stimulated luminescence. These properties make SrZnOS:Eu2+,Dy3+ highly promising for applications in secure information storage and advanced displays. Our work establishes a design principle for manipulating multi-mode luminescence in oxide hosts through photoelectrochemical cell engineering, opening avenues for next-generation functional materials.",pubmed,0
Machine Learning-Assisted Development of High-Performance Ethanol Synthesis Catalysts via CO 2 Hydrogenation,https://pubs.acs.org/doi/10.1021/jacs.6c06886,Journal of the American Chemical Society: Latest Articles (ACS Publications),2026-07-14 00:00:00 UTC,2026-07-14 00:00:00+00:00,10.1021/jacs.6c06886,Takashi Toyao,"The discovery and development of high-performance catalysts, which is crucial across all catalysis areas, requires advanced technologies and innovative approaches. Recently, machine learning (ML) has shown promise in accelerating this process, but its capability and examples of discovery of truly novel catalysts have remained limited. In this study, we describe an ML approach that goes beyond the traditional element pool, incorporating elements that have not been previously studied, to develop highly efficient catalysts for ethanol synthesis via CO2 hydrogenation. Starting with an initial data set of 58 catalysts (274 data points obtained at reaction temperatures ranging from 240-400 °C), we conducted 24 iterations of a closed-loop discovery system (ML predictions + experimental validation), testing a total of 555 catalysts (2477 data points), and building a large experimental data set. More than 50 catalysts with superior activity were discovered through this data-driven approach. The multielemental Pd(0.8)-Au(0.3)/K(2.5)-Sr(1)-Fe(20)-Zn(4)-Cd(2)-Yb(1)-Re(1)/CeO2(25%)-ZrO2 catalyst, where the numbers in parentheses represent weight percent (wt %), was identified as the most effective catalyst for ethanol synthesis (ethanol space-time yield: 8.2 mmol gcat-1 h-1 with a CO2 conversion of 57.6% and an ethanol selectivity of 23.2% under reaction conditions of 360 °C, 4 MPa, 12 L gcat-1 h-1, H2/CO2 = 3/1). Comprehensive characterizations, including in situ/operando techniques such as X-ray absorption spectroscopy (XAS), ambient-pressure X-ray photoelectron spectroscopy (AP-XPS), and diffuse reflectance infrared Fourier transform spectroscopy (DRIFTS), enable us to highlight the critical roles of each constituting element in improving ethanol synthesis efficiency.",pubmed,0
Synergistic Decoupling of Distance and Velocity in a Triboelectric Touchless Sensor for Intelligent Identity Recognition,https://pubs.acs.org/doi/10.1021/acsami.6c11407,ACS Applied Materials & Interfaces: Latest Articles (ACS Publications),2026-07-14 00:00:00 UTC,2026-07-14 00:00:00+00:00,10.1021/acsami.6c11407,Huaping Wu,"Touchless identity recognition is a crucial direction for future human-computer interaction, with broad application potential particularly in healthcare, remote security, and augmented reality. With advancements in contactless triboelectric nanogenerator (TENG) technology, employed as touch-free monitoring sensors, touchless interaction will pave the way for more natural and seamless user experiences. However, achieving more intelligent and complex touchless interactions using contactless sensors remains a grand challenge, primarily due to the difficulty in synergistically decoupling multidimensional signals such as interaction distance and velocity. Here, we present a contactless TENG based on a single-electrode mechanism that enables synergistic spatiotemporal decoding of object distance and velocity through the independent analysis of open-circuit voltage and short-circuit current signals. Benefiting from the synergy between interaction distance and velocity, the proposed system enhances identification security via spatiotemporal information encoding by mapping spatial and temporal parameters into dual-channel authentication inputs. The proposed design concept and guidelines would provide new insights into touchless sensor development, promising benefits for applications like artificial intelligence, network security, and access control for computers and networks.",pubmed,0
