title,link,source,published_str,pub_date,doi,last_author,abstract,abstract_source,must_have_abstract
The role of individual nickel surface species in the hydrogen evolution reaction on nickel in alkaline electrolytes,https://www.nature.com/articles/s41929-026-01605-9,Nature Catalysis,2026-09-07 00:00:00 UTC,2026-09-07 00:00:00+00:00,10.1038/s41929-026-01605-9,Dušan Strmčnik,"Abstract
                  
                    The role of Ni surface species in the hydrogen evolution reaction (HER) under alkaline conditions remains a key challenge in the development of cost-effective and efficient catalysts for sustainable hydrogen production. Here we systematically investigate well-defined Ni surfaces through carefully designed experiments to unravel the contributions of specific Ni species (NiO, Ni(OH)
                    2
                    and NiH
                    
                      x
                    
                    ) to HER kinetics. Using detailed electrochemical and surface characterization, combined with density functional theory calculations, we demonstrate that NiO, contrary to a body of literature, acts as a passive spectator, blocking active sites without altering intrinsic activity; NiH
                    
                      x
                    
                    inhibits HER by modifying the electronic structure of Ni; and Ni(OH)
                    2
                    promotes HER by facilitating water dissociation and creating new, highly active sites in its vicinity on metallic Ni. Our findings establish a unified framework for understanding the intrinsic activity of Ni-based catalysts, addressing discrepancies in the literature and providing insights into the design of next-generation alkaline water electrolysers.",crossref,0
High-performance tunnel-junction selectors with graded tunnel barriers based on five-layer van der Waals heterostructures,https://www.nature.com/articles/s41928-026-01704-2,Nature Electronics,2026-09-07 00:00:00 UTC,2026-09-07 00:00:00+00:00,10.1038/s41928-026-01704-2,J. Joshua Yang,"Using five vertically stacked van der Waals layers, a tunnel-junction selector can be created that exhibits a nonlinearity above 107, an endurance of more than 1012 cycles, a switching speed of less than 20 ns, minimal temperature dependence and low device-to-device variability.",rss_nature,0
Electrically programmable polariton symmetry breaking via non-Hermitian dissipation engineering,https://www.nature.com/articles/s41563-026-02734-z,Nature Materials,2026-09-07 00:00:00 UTC,2026-09-07 00:00:00+00:00,10.1038/s41563-026-02734-z,Qing Dai,"The optical response of natural materials is constrained by crystal symmetry, limiting the design of reconfigurable nanophotonic devices. Here we demonstrate the electrically programmable symmetry breaking of phonon polaritons via non-Hermitian dissipation engineering. In a heterostructure composed of α-MoO3 and aligned carbon nanotubes (A-CNTs), we identify the A-CNT layer as an anisotropic dissipative medium. Driven by overdamped carrier dynamics, the nanotubes preclude polariton hybridization, exerting a proximity-induced resistive coupling instead. Thus, the A-CNT layer operates as a tunable momentum-space loss filter that selectively attenuates propagation along specific crystallographic directions. By electrostatically gating the A-CNTs to regulate their Drude loss, we achieve the continuous and reversible tuning of the polariton topology with transitions from symmetric hyperbolas to asymmetric shear wavefronts. Unlike refractive-index engineering that requires strict wavevector matching, this dissipative filtering mechanism allows for topology shaping without coherent hybridization, establishing dissipation as a programmable degree of freedom in topological nanophotonics and non-Hermitian device physics.",pubmed,0
3D-printed living materials for anammox–denitrification coupling in wastewater treatment,https://www.nature.com/articles/s41893-026-01921-9,Nature Sustainability,2026-09-07 00:00:00 UTC,2026-09-07 00:00:00+00:00,10.1038/s41893-026-01921-9,Yingxin Zhao,Nitrate accumulation limits the sustainability of anammox-based nitrogen removal in wastewater treatment. This study shows that 3D-bioprinted engineered living materials with spatial confinement enable complete nitrogen removal by enhancing cross-feeding between anammox bacteria and denitrifiers.,rss_nature,0
Unlocking reaction pathways for CO2 and CO electrocatalytic reduction to C3+ hydrocarbons and oxygenates using plasma activation,https://www.nature.com/articles/s41929-026-01609-5,Nature Catalysis,2026-09-07 00:00:00 UTC,2026-09-07 00:00:00+00:00,10.1038/s41929-026-01609-5,Lea R. Winter,"Achieving efficient electrocatalytic conversion of CO2 and CO to high-value multi-carbon products remains a major challenge. Now, plasma activation is coupled with electrocatalysis on copper to enable unexplored reaction pathways, enhancing the production rates of C3+ hydrocarbons and oxygenates.",rss_nature,0
Switchable single-atom catalysts for highly selective C–C coupling in direct methane oxidation,https://www.nature.com/articles/s41565-026-02271-5,Nature Nanotechnology,2026-09-07 00:00:00 UTC,2026-09-07 00:00:00+00:00,10.1038/s41565-026-02271-5,Yadong Li,"Direct selective conversion of methane into high value-added chemical products has long attracted attention in both industry and academia. The production of C2 oxygenates is especially challenging owing to the requirement for both C-H activation and C-C coupling. Here we report a boron nanosheet-supported Cu single atom with Cu-B4 sites (Cu-SAs/B), which can effectively catalyse the conversion of methane to acetic acid with 97% selectivity and a high activity of 221.3 mmol gCu-1 h-1 without the addition of CO. In situ X-ray absorption fine structure analysis reveals that Cu single atoms undergo reversible 'switching' to Cu4 clusters under CH4 oxidation conditions, enabling efficient C-H activation and C-C coupling. The switching behaviour is triggered by the presence of H2O2, and the coupling occurs between CH3* and CHO* intermediates formed on Cu single atoms and Cu clusters, respectively, as confirmed by in situ spectroscopic techniques. These findings provide a proof of concept for designing highly effective methane oxidation catalysts based on switchable nanocatalysts.",pubmed,0
Global analysis of nitrogen inputs from irrigation water to cropland,https://www.nature.com/articles/s41893-026-01930-8,Nature Sustainability,2026-09-07 00:00:00 UTC,2026-09-07 00:00:00+00:00,10.1038/s41893-026-01930-8,K. Butterbach-Bahl,"Irrigation is typically overlooked as a source of reactive nitrogen to cropland. However, nitrate-rich irrigation water constitutes a substantial portion of the global agricultural nitrogen budget that should be accounted for in fertilizer application and irrigation strategies.",rss_nature,0
Author Correction: Tree species richness relates to long-term forest photosynthesis increase,https://www.nature.com/articles/s41558-026-02761-3,Nature Climate Change,2026-09-07 00:00:00 UTC,2026-09-07 00:00:00+00:00,10.1038/s41558-026-02761-3,Josep Peñuelas,,,0
Directed heterogeneous hydride transfer enables selective CO2 reduction using a Janus palladium membrane electrode,https://www.nature.com/articles/s41557-026-02243-1,Nature Chemistry,2026-09-07 00:00:00 UTC,2026-09-07 00:00:00+00:00,10.1038/s41557-026-02243-1,Yujie Sun,"Electrochemical CO2 reduction is typically constrained by proton-coupled electron transfer, which intrinsically intertwines CO2 conversion with the competing H2 evolution reaction. Here we introduce a Janus palladium membrane electrode that circumvents proton-coupled electron transfer by enabling selective CO2 reduction through heterogeneous hydride transfer. The membrane spatially separates hydrogen generation from CO2 reduction and independently polarizes the CO2-facing interface, converting permeated hydrogen atoms into Pd-H species with tunable hydricity. This design sustains directional hydride flux from water to CO2, enabling highly selective formate production under mild cathodic polarization. We achieve excellent Faradaic efficiencies and turnover frequencies in aqueous electrolytes, while isotope labelling experiments confirm hydride transfer as the dominant reaction pathway. Continuous hydrogen delivery stabilizes a hydrogen-rich surface of the electrode, suppressing CO formation and enabling stable operation. This electrode's success for CO2 reduction in both aqueous and fully aprotic electrolytes offers a general route to access heterogeneous hydride reactivity beyond proton-mediated electrocatalysis.",pubmed,0
"Enzymatic skeletal editing reaction forming the 1,3,5-triazine core during biosynthesis of the anticancer nucleoside analogue 5-azacytidine",https://www.nature.com/articles/s41929-026-01611-x,Nature Catalysis,2026-09-07 00:00:00 UTC,2026-09-07 00:00:00+00:00,10.1038/s41929-026-01611-x,Tohru Dairi,"Despite decades of clinical use, the biosynthetic origin of 5-azacytidine remained unknown. Now the responsible gene cluster is identified, revealing enzymes that convert guanosine triphosphate into a triazine nucleobase through rare skeletal editing and unconventional thiamine-dependent chemistry.",rss_nature,0
