title,link,source,published_str,pub_date,doi,last_author,abstract,abstract_source,must_have_abstract
Reduced flood-related bacillary dysentery risk with sponge city development in China,https://www.nature.com/articles/s44284-026-00514-z,Nature Cities,2026-09-08 00:00:00 UTC,2026-09-08 00:00:00+00:00,10.1038/s44284-026-00514-z,Bin Luo,"Flooding exacerbates bacillary dysentery risks, particularly among vulnerable groups. Analysis of 4.2 million cases in China utilized case-crossover and quasi-experimental methods, revealing a 12.2% risk reduction post-sponge city development, especially in areas with weaker infrastructure.",rss_nature,0
Electrochemically mediated carbon capture using a membraneless architecture,https://www.nature.com/articles/s44286-026-00438-4,Nature Chemical Engineering,2026-09-08 00:00:00 UTC,2026-09-08 00:00:00+00:00,10.1038/s44286-026-00438-4,Yayuan Liu,"This study reports a membraneless architecture for electrochemically mediated carbon capture that uses solid-state counter-electrodes to address the limitations of ion-exchange membranes. The study also shows that unwanted charge loss is governed by ion diffusion through the solid, rather than by thermodynamics alone, offering a practical materials design principle for carbon capture and related energy technologies.",rss_nature,0
How landscapes shaped the spatial foundations of cities in pre-state China,https://www.nature.com/articles/s44284-026-00524-x,Nature Cities,2026-09-08 00:00:00 UTC,2026-09-08 00:00:00+00:00,10.1038/s44284-026-00524-x,,"Before a large, integrated state emerged in China, proto-urban settlement systems provided the spatial foundations from which cities could emerge. Settlement patterns reconstructed from archeological sites across Neolithic China reveal how terrain-derived accessibility structured these systems, and how that relationship later changed as China moved towards state formation.",rss_nature,0
Topographic accessibility and proto-urban settlement organization in Neolithic China,https://www.nature.com/articles/s44284-026-00511-2,Nature Cities,2026-09-08 00:00:00 UTC,2026-09-08 00:00:00+00:00,10.1038/s44284-026-00511-2,Joan Rosés,"Abstract
                  Cities emerged from settlement systems that predated formal roads, mature states and institutionalized urban governance, but the large-scale spatial organization of these proto-urban systems is still poorly understood. Here we examine how terrain-derived accessibility related to settlement organization across Neolithic China between 5000 and 2000 BCE, combining a newly compiled georeferenced archeological dataset with a measure of overland accessibility derived from topography. Settlement intensity became increasingly concentrated along accessible corridors between 5000 and 2500 BCE. Between 2500 and 2000 BCE, this association weakened sharply, although spatial clustering remained strong and the principal concentration of settlements shifted toward intermediate-accessibility settings. These findings show that terrain accessibility structured proto-urban settlement organization before mature states and formal transport infrastructure, but that this relationship was historically contingent rather than fixed. They provide a long-run East Asian perspective on how the spatial foundations of urban development can be reorganized as settlement systems grow more complex.",crossref,0
Publisher Correction: An inherent T cell-activating mRNA delivery carrier for in vivo CAR T generation,https://www.nature.com/articles/s41563-026-02753-w,Nature Materials,2026-09-08 00:00:00 UTC,2026-09-08 00:00:00+00:00,10.1038/s41563-026-02753-w,Huayu Tian,,,0
Weighing 600 million buildings reveals global urban material inequality and efficiency paths,https://www.nature.com/articles/s44284-026-00510-3,Nature Cities,2026-09-08 00:00:00 UTC,2026-09-08 00:00:00+00:00,10.1038/s44284-026-00510-3,Gang Liu,"Urbanization is rapidly increasing the accumulation of materials in buildings worldwide. This study’s global mapping of over 600 million buildings reveals that urban form, alongside affluence, critically shapes patterns of material stock growth.",rss_nature,0
Ionic clusters as high-connectivity secondary building units for crystalline porous organic salts,https://www.nature.com/articles/s41557-026-02248-w,Nature Chemistry,2026-09-08 00:00:00 UTC,2026-09-08 00:00:00+00:00,10.1038/s41557-026-02248-w,Andrew I. Cooper,"Abstract
                  The solid-state assembly of crystalline porous materials is dictated by a balance between primary node–linker interactions and other weaker intermolecular forces. Metal–organic frameworks (MOFs) exploit highly directional and rigid coordination bonds that outweigh competing packing effects. This allows high-connectivity secondary building units (SBUs) to be assembled into a diverse range of architectures. By contrast, molecular crystals comprise weaker intermolecular interactions, making it challenging to realize porous packings with the highly connected reticular topologies achieved in MOFs. Here we introduce Coulombic aggregation as a means to generate primary SBU motifs. By suppressing intermolecular dispersion interactions, ammonium halide ion pairs aggregate into discrete multinuclear clusters that function as non-metal SBUs. Coupled with multitopic three-dimensional linkers, these ionic clusters create extended non-metal organic frameworks with diverse topologies, large voids and polar channels. This study extends reticular chemistry from directional chemical bonds to ‘soft’ ionic interactions, opening pathways to new porous materials and principles of solid-state assembly.",crossref,0
Publisher Correction: Edge-sharing RuO2 single layer for stable and low overpotential acidic water electrolysis,https://www.nature.com/articles/s41565-026-02288-w,Nature Nanotechnology,2026-09-08 00:00:00 UTC,2026-09-08 00:00:00+00:00,10.1038/s41565-026-02288-w,Qi Shao,,,0
Quasi-ballistic ion transport boosts evaporation-driven electricity generation,https://www.nature.com/articles/s41560-026-02142-2,Nature Energy,2026-09-08 00:00:00 UTC,2026-09-08 00:00:00+00:00,10.1038/s41560-026-02142-2,,"Evaporation-driven electricity generation can utilize the abundant thermal energy in the atmosphere, but is limited by ion scattering in the energy-harvesting material. Machine learning has now enabled the design of vertical microrod generators that achieve quasi-ballistic ion transport, boosting the power density and power conversion efficiency.",rss_nature,0
Global characterization of building-level weight reveals urban material inequality,https://www.nature.com/articles/s44284-026-00509-w,Nature Cities,2026-09-08 00:00:00 UTC,2026-09-08 00:00:00+00:00,10.1038/s44284-026-00509-w,,"A global, building-level database of 606 million structures reveals that 835 Gt of materials are in use and that there are large inequalities in the distribution between high-income and low-income countries. Choosing a material-efficient urban form when planning cities could help to reduce future building-material demand.",rss_nature,0
