title,link,source,published_str,pub_date,doi,last_author,abstract,abstract_source,must_have_abstract
Multiscale fractal-LLM synergy for secure synchrophasor data authentication in smart grids,https://www.sciencedirect.com/science/article/pii/S0306261926014091?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-08-29 00:00:00 UTC,2026-08-29 00:00:00+00:00,10.1016/j.apenergy.2026.128753,Feifei Bai,"Synchrophasor Data (SD), which captures the states and dynamics of transmission and distribution power networks, is recorded by dispersed Phasor Measurement Units (PMUs) that are connected through advanced communication infrastructures in cyber-physical systems. While the source information of SD is critical for PMU-based applications, it remains susceptible to data integrity attacks. Reliable SD source authentication must be performed efficiently before any SD analytics to ensure application integrity. Existing machine learning authentication methods are focused on sparse SD across vast regions and fail to represent realistic network conditions. This study presents a data-driven SD source authentication of dense PMUs at intra-state locations without requiring detailed power network topology, parameters, or costly upgrades to PMU hardware and data infrastructure. It offers a practical data-driven approach through multiscale fractal - Large Language Models (LLMs) synergy for secure SD authentication. Specifically, Multiscale Vector Visibility Height Correlation Analysis (MVVHCA) is developed to extract long-term fractal correlations from SD with multiple attributes simultaneously and pinpoint scales exhibiting peak multifractality. Then, high-fidelity synthetic SD is reconstructed through Adaptive Multifractal Interpolation (AMFI). These synthetic SD are further processed by LLMs to achieve robust, real-time source authentication. Validation on extensive real-world SD from multiple intra-state locations confirms superior accuracy and computational efficiency, which establishes a scalable solution for secure operation of renewable-dominated smart grids.",openalex,0
Global rice methane emissions tripled over six decades amid declining emission intensity,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag555/8774597?rss=1,National Science Review Advance Access,2026-08-29 00:00:00 UTC,2026-08-29 00:00:00+00:00,10.1093/nsr/nwag555,Shilong Piao,"Rice paddies are among the largest anthropogenic sources of methane (CH4), yet substantial uncertainties persist in the long-term magnitude and spatiotemporal dynamics of the emissions. Here we show a spatially explicit global estimate of rice CH4 emissions from 1961 to 2020, leveraging a new high-resolution dataset and two Tier 3 modeling approaches (process-based and machine-learning-based). We find that global emissions have more than tripled over the past six decades, reaching a record high of 38.8 Tg CH4 yr−1 in 2020 based on the mean of the two Tier 3 estimates, both the rate and magnitude are substantially higher than conventional emission-factor-based inventories. Traditional rice-producing regions (e.g. Asia) dominated the increase due to expanded cultivation and intensified organic inputs, while Africa emerged as a rapidly growing source. Beyond trends in absolute emissions, the CH4 emission intensity (per unit of rice yield) declined across 70% of the global paddy area, mainly reflecting yield-driven efficiency gains. Notably, 44% of global rice production in the 2010 s occurs in countries with below-average emission intensity, with China being the largest contributor. By resolving long-term spatial heterogeneity with new data and models, this study provides a robust reassessment of the global rice methane budget and highlights pathways to reconcile food production with climate mitigation.",rss_oup,0
Deep learning for scalable atomic electron tomography,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag561/8774596?rss=1,National Science Review Advance Access,2026-08-29 00:00:00 UTC,2026-08-29 00:00:00+00:00,10.1093/nsr/nwag561,Jianwei Miao,"Jianwei Miao; Deep learning for scalable atomic electron tomography, National Science Review, , nwag561, https://doi.org/10.1093/nsr/nwag561",openalex,1
A life in paleomagnetism: an interview with lisa tauxe,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag554/8774590?rss=1,National Science Review Advance Access,2026-08-29 00:00:00 UTC,2026-08-29 00:00:00+00:00,10.1093/nsr/nwag554,Weijie Zhao,"Lisa introduced the field of paleomagnetism, shared several fascinating research stories, and recounted the challenges and setbacks, as well as the heartwarming moments, that she has experienced throughout her own scientific career.",crossref,0
Market power and distributed solar integration in microgrids under limited regulation,https://www.sciencedirect.com/science/article/pii/S0306261926013590?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-08-29 00:00:00 UTC,2026-08-29 00:00:00+00:00,10.1016/j.apenergy.2026.128703,Sebastian Zwickl-Bernhard,"Decentralized electricity systems increasingly emerge where centralized grids fail to provide reliable supply. In such settings, privately operated neighborhood microgrids, often based on diesel generators, exhibit significant market power, limited regulatory oversight, and high environmental externalities. In parallel, households increasingly deploy off-grid solar photovoltaic (PV) systems to gain control over electricity supply. However, these systems suffer from curtailed excess generation during peak solar hours and unreliable access at other times. While prior studies have optimized microgrids in low-reliability grid contexts from a techno-economic perspective, they largely neglect the market power exerted by monopolistic private generators. This paper addresses this gap by developing a bi-level game-theoretic model that enables household-generated electricity to be fed into the microgrid while explicitly accounting for the market power of a neighborhood diesel generator company (DGC). The regulator sets price and feed-in-tariff caps to maximize household economic surplus (HES), while the DGC acts as a profit-maximizing agent controlling access and supply. The model is illustrated using high-resolution empirical data from Lebanon. Results show that: (i) price and feed-in-tariff caps substantially increase HES and consistently induce significant household PV feed-in to the microgrid; (ii) higher DGC budgets or greater PV-owner penetration lead to pronounced gains in HES; and (iii) the renewable energy share reaches 60% under base conditions and approaches 100% at sufficiently high budgets or PV-owner penetration levels, compared to 0% under the status quo.",semanticscholar,0
Integrative analysis of the embryonic origin of adult neural stem cells in forebrain subventricular zones,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag516/8774603?rss=1,National Science Review Advance Access,2026-08-29 00:00:00 UTC,2026-08-29 00:00:00+00:00,10.1093/nsr/nwag516,Shaorong Gao,"In the mammalian brain, adult neural stem cells (NSCs) located in ventricular-subventricular zone (V-SVZ) of lateral ventricles and dentate gyrus continuously generate new neurons and glia throughout life. The adult NSCs in V-SVZ are derived from ventricular radial glial cells (RGCs) which become quiescent during embryonic development. However, the origin and establishment of this adult NSC pool remain elusive, primarily due to the challenge of tracing the lineage from embryonic RGCs to their quiescent adult successors. Here, by leveraging Vcam1—a marker continuously expressed from embryonic RGCs to adult NSCs—we unravel the dynamic process and regulatory mechanism underlying the fate bifurcation that gives rise to quiescent seed cells. We demonstrate that Vcam1+ embryonic RGCs directly contribute to the adult NSC pool. A subpopulation of quiescent Vcam1+ RGCs emerges early and is maintained throughout development, while a parallel population of proliferative Vcam1+ progenitors actively replenishes this quiescent reservoir. Through the combinatory analysis of single-cell multi-omics and clonal lineage tracing of Vcam1+ cells, we identified the TGF-β/Smad3 pathway as a critical regulator of quiescence. Our work thus provides a mechanistic dissection of how the foundational adult NSC pool is established through precisely regulated fate decisions during embryogenesis, offering new insights into the principles of lifelong neurogenesis.",rss_oup,0
A dynamic electrochemical impedance spectroscopy extraction method for PEM water electrolyzers considering time resolution,https://www.sciencedirect.com/science/article/pii/S0306261926013036?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-08-29 00:00:00 UTC,2026-08-29 00:00:00+00:00,10.1016/j.apenergy.2026.128647,Daniel Hissel,"Electrochemical impedance spectroscopy (EIS) is an efficient in-operando characterization tool for analyzing the internal processes of proton exchange membrane water electrolyzers (PEMWE). However, conventional EIS requires the system to operate under steady-state conditions, which limits its applicability in real-world systems. Dynamic EIS (DEIS) provides a potential approach to capture the variation of internal physical states caused by changes in operating conditions over time. However, existing impedance calculation methods, such as fast Fourier transform and wavelet transform-based approaches, are limited in their ability to analyse nonstationary signals across the entire frequency range. To address these limitations, this paper proposes a hybrid method that combines the advantages of several existing time–frequency and instantaneous feature extraction techniques to accurately obtain DEIS under dynamic conditions. This study segments the perturbation signals based on operating variations and applies adaptive processing to ensure accurate impedance extraction. Simulation and experimental verification under different input power profiles to a PEMWE are conducted in this work. The results demonstrate that the proposed hybrid method achieves a DEIS accuracy exceeding 96%, verifying its effectiveness for PEMWE applications and potential for other electrochemical devices.",openalex,0
Multiparametric optimization based decision making approach in energy systems planning under uncertainty,https://www.sciencedirect.com/science/article/pii/S030626192601370X?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-08-29 00:00:00 UTC,2026-08-29 00:00:00+00:00,10.1016/j.apenergy.2026.128714,Efstratios N. Pistikopoulos,"Energy infrastructure planning confronts a fundamental temporal asymmetry in which capacity decisions must be committed before uncertainty materializes and yet must remain robust across all future operational scenarios. Traditional approaches either adopt worst-case hedging or ignore operational uncertainty. We address this through a Robust Optimization framework integrating data-driven uncertainty quantification with multiparametric programming, enabling design strategies as explicit functions of realized uncertainty without iterative re-optimization. We quantify forecasting errors via probabilistic deep learning technique to inform uncertainty bounds. Rather than worst-case designs, we model it as bilevel problem solved multiparametrically, deriving ""wait-and-see"" operations as piecewise affine functions of ""here-and-now"" decisions and uncertainty realizations.Applied to a multi-source, multi-sink energy system (wind, nuclear, natural gas, battery, electricity and hydrogen demands) under joint supply-demand uncertainty, the framework reveals a strategic shift in technology prioritization as uncertainty quantiles increase, optimal designs preferentially allocate capacity to expensive-but-reliable dispatchables even though economical renewables remain available. The complete parametric solution enables upfront cost-robustness trade-off exploration, providing a tractable and generalizable tool for risk-aware capacity expansion, supporting strategic investment decisions in uncertain and rapidly evolving energy landscape.",openalex,0
Ultrahigh‑resolution quantum dot light‑emitting diodes,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag549/8774606?rss=1,National Science Review Advance Access,2026-08-29 00:00:00 UTC,2026-08-29 00:00:00+00:00,10.1093/nsr/nwag549,Wei Huang,"Next-generation near-eye augmented reality (AR)/virtual reality (VR) display hardware puts forward growing requirements for high-performance, high-resolution luminous sources. Benefiting from outstanding luminous efficiency, tunable emission wavelength and convenient fabrication procedures, quantum dot light-emitting diodes (QLEDs) have gained extensive application prospects. However, achieving ultrahigh resolution without compromising device performance requires a balance between them, which is a major challenge for practical applications. In this Perspective, we introduce advanced patterning techniques for ultrahigh-resolution QLEDs, elaborate on the latest advancements in display technology, and summarize the key challenges and prospective research trends.",rss_oup,0
Topographic decoupling of tree-mortality disturbances drives contrasting soil carbon fates via divergent microbial strategies,https://www.nature.com/articles/s41467-026-77237-1,Earth and environmental sciences : Nature Communications subject feeds,2026-08-29 00:00:00 UTC,2026-08-29 00:00:00+00:00,,Juyu Lian,"Climate change is exacerbating tree mortality worldwide, threatening the stability of forest soil organic carbon (SOC) stocks. However, how SOC responds to tree mortality amid co-occurring disturbances remains mechanistically unresolved. Here, we demonstrate that topography spatially decouples the canopy-opening and detrital-legacy effects of tree mortality and transforms these co-occurring disturbances into distinct selective pressures on soil microbial communities, thereby driving SOC toward contrasting fates through divergent microbial strategies for carbon and energy acquisition. On ridges, canopy-opening effects co-select for exo-enzyme and aerobic-respiration traits, alongside SOC loss associated with reduced heavy-fraction organic carbon. In valleys, detrital-legacy effects promote light-fraction-associated SOC gain while co-enriching endo-enzyme and anaerobic-respiration traits, potentially strengthening SOC retention. By integrating amplicon sequencing with genome-informed functional traits, our study provides genomic evidence for the microbial mechanisms underlying divergent SOC responses to tree mortality and highlights the potential of genome-based microbial traits for predicting ecosystem-scale biogeochemical processes.",nature_html,0
